dimension	item	evidence	finding	classification	minimum_safe_remediation	dependencies	risk	acceptance_criteria	rollback_boundary
1-module-boundaries	src/ top-level map	git ls-files: src/domain 55 prod files 9610L; client/src 263 prod 271 test; tests/domain 34 files	Clean by-layer organization with feature folders inside components/ and application/; no features/ layer (owner D8 honored)	PRESERVE	none	none	low	features/ absent from git ls-files (already true)	n/a (no change)
1-module-boundaries	feature footprint fragmentation	recurring expenses spread over 3 pages + finance service + domain module + contract 41 + manifest rows	No single index of a feature's full footprint; discovery relies on naming + contract 40 map	PRESERVE (mitigated)	add feature->files index to docs/contracts/40 appendix in Wave A	Wave A	low	contract 40 appendix lists each feature's page/service/domain/contract files	revert docs commit
1-module-boundaries	components/ui legacy file	components/ui/drawer.tsx 117L (vaul/shadcn bridge)	Single legacy UI home parallel to primitives/; collision risk registered in prior scan	DEFER	retire only when last consumer migrates (consumer-driven)	none	low	zero new consumers; retirement recorded with owner decision	revert migration commit
1-module-boundaries	discoverability stack	AGENTS.md §2 matrix; docs/00-document-index.md; contract 40 + ownershipBoundaries.exe017.test.ts 181L; ai-skills/ 9 skills	Strong multi-entry discoverability; permanent architectural guard test is exemplary	PRESERVE	none	none	low	guard test stays green	n/a
2-oversized-files	index.css 6837 lines	client/src/index.css (1205 .micro-* selectors; 4 sibling files in styles/ 1031L total)	Largest SRP violation: palette+layout+components+AUX+motion in one file; owner-sanctioned CSS-only reduction path exists (6983->6837 via PR #235/#236)	DEFER (WS-183-pattern waves)	continue surgical dead-rule removal + family extraction only with per-wave visual evidence	owner gate per wave	medium (cascade regressions)	each wave: full pnpm check green + 2-theme captures of touched families	revert single wave commit
2-oversized-files	IndexedDbLocalStore.ts 4134L	storage/local/IndexedDbLocalStore.ts + 5 extracted internal modules (stores/migrations/lifecycle/primitives/snapshot)	No-split file; Group 10 already extracted internals behind facade; remaining size is the adapter surface itself	PRESERVE (constraint)	none without owner decision	owner decision required (AGENTS.md §11.1)	high if split	adapter conformance matrix (28 ops) green; no signature change	n/a
2-oversized-files	MemoryLocalStore.ts 2095L	storage/local/MemoryLocalStore.ts	Must mirror IndexedDB adapter; size is inherent to the mirror contract	PRESERVE	none	none	low	conformance matrix green	n/a
2-oversized-files	pages over 1000L	OrderDetail 1888; Finance 1639; FinancialEventEditor 1285; SupplierPurchaseEditor 1184; OwnerEntitlement 1157; Schedule 1035; DirectSaleEditor 1022	Post-Group-11 orchestrators; sections already extracted; further split needs owner decision per file	PRESERVE (constraint)	owner-gated future waves only	owner decision per group	medium	orchestrator holds no pure-presentation block larger than a screen section	n/a
2-oversized-files	large non-listed services	transferFamilyValidators 1715; integrityCheckService 1469; craft-order/policies 1436; inventoryMaterialService 1432; projectFinancialService 1401	Single-topic files created/approved by the remediation waves; SRP holds at topic level	PRESERVE	none	none	low	topic cohesion maintained in review	n/a
3-layer-violations	domain purity enforcement	eslint.config.js:26-120 + check-layer-boundaries.test.mjs:42-96	Relative-only imports, no browser globals, Math ban with shared/ exemption; proven both directions via real engine	OUT_OF_SCOPE (working as designed)	none	none	low	guard tests green	n/a
