id	severity	category	evidence_class	classification	owner_decision_required	title	affected_files_routes	impact	minimum_safe_remediation	focused_evidence	acceptance_criteria	rollback_boundary
AUD-000	META	audit-integrity	VERIFIED	PRESERVE	No	Audit-tooling display artifact: bracket-m sequence eaten in displayed tool output produced 2 false positives (both retracted after md5/length/count proof); repo content consistent with green CI	audit process only	audit integrity	Document in report; require checksum verification for bracket-bearing evidence in future waves	md5(line48)=md5(correct candidate); awk length=20; rg counts; runtime probe reproduced artifact	Future waves verify bracket-bearing strings via checksum/length/count	n/a
AUD-001	HIGH	product-ux	VERIFIED	DEFER	Yes	V2 result-first SnapshotDeck vs Micro decision-first Home: opposing reading orders; unresolved IA decision blocks Home and deck work	Home.tsx; V2 SCREEN-CATALOG; DESIGN-DECISIONS-V2 13.4	product directionOwner records reading order + deck placement in UX-001 owner_decision	Decision recorded before any implementation prompt	HomeRedesign.w43.dom.test.tsx:276 locks decision-first; V2 fixtures order result-first	Decision recorded	n/a (decision)
AUD-002	HIGH	qa-tests	VERIFIED	FIX_NOW	No	renderSmoke covers 56 of 65 registered route patterns; 9 unsmoked (recurring x3, finance/more, finance/upcoming, loans/received x2, redirect); stale (55) header comment	R2.renderSmoke.test.tsx; MicroRouter.tsx	test net hole on newest families	Add the 9 route patterns; fix count comment	Three specialists counted independently: 56 vs 65/66	Suite enumerates all 65; comment matches	Single-commit revert
AUD-003	HIGH	governance-docs	VERIFIED	FIX_NOW	Yes	Governance truth drift cluster: AGENTS.md 36/28 and 11.3 35/27 vs code 38/30; current-state/todo say PR #159 open vs merged c0469e2; doc-pin tests freeze stale strings; ARCHITECTURE.md store counts; WS-183 matrix enumerates 59 of 60; stale inventories	AGENTS.md; todo.md; current-state.md; group2ClosureDocs.test.ts; group6Docs.test.ts; ARCHITECTURE.md	records trustworthiness	One docs wave + doc-pin re-baseline in same PR (CHANGE_PROTOCOL pattern)	types.ts:55,71=38/30 re-verified; c0469e2 is-ancestor proof	Numbers and merge status match code; doc-pin tests assert current truth	Revert docs commit
AUD-004	MED	interaction-a11y	VERIFIED	FIX_NOW	No	Suggest-chip selected state is color-only and pixel-identical to its own hover (WCAG 1.4.1)	index.css:6151-6160	selection ambiguity in quick-expense categories	Add non-color cue (weight/dot per ChoiceRow contract)	index.css read confirms identical hover/selected values	Guard assertion: selected differs from computed hover	Revert CSS commit
AUD-005	MED	interaction-safety	VERIFIED	FIX_NOW	No	Three money-input sheets close without the typed-input discard question used elsewhere (typed repayment money can vanish on swipe/X)	components/loans/RepaymentSheet.tsx; components/loans/ReceivedLoanRepaymentSheet.tsx; components/cost/MaterialSheet.tsx	data-loss risk on dismissal	Reuse QuickActionSheet.tsx:143-167 discard pattern; own ops-control claim	rg count 0 guard markers in all 3 sheets vs pattern present in QuickActionSheet	DOM tests: dismissal with dirty input asks the question	Revert TSX commit
AUD-006	MED	interaction-semantics	VERIFIED	FIX_NOW	No	Permanent-delete confirm wears action=secondary instead of destructive (inconsistent with OrderDetail/QuickActionSheet/UnsavedChangesGuard)	DraftEditor.tsx:509-518	destructive-action semantics inconsistent	One-word class change + guard	Direct read of lines 509-518 confirms action="secondary" on irreversible delete	Snapshot/guard asserts destructive on delete confirms	Single-line revert
AUD-007	MED	navigation	VERIFIED	FIX_NOW	No	/foundation is the only non-seat surface without a back button and ignoring returnTo (53/60 pages honor it)	pages/Foundation.tsx	EXE-016 return-context promise breaks on one surface	Add useReturnPath + back affordance per the 53-page scaffold	rg count useReturnPath=0 in Foundation.tsx	Route contract test including foundation	Revert TSX commit
AUD-008	MED	layout-mobile	VERIFIED	FIX_NOW	No	Home numbers grid: CSS comment documents narrow vertical wrap but no collapse rule exists (comment/code mismatch); 320px unverified	index.css:2629-2635; Home numbers grid	narrow-device layout risk	Implement documented collapse OR fix comment; device capture at 320px	Comment at 2629-2630 vs fixed 2-col grid 2631-2635 (no media query)	Comment matches code; capture evidence	Revert CSS commit
AUD-009	LOW	product-ux	VERIFIED	FIX_NOW	No	Label duplication: shell contextLabel + page overline both render the Home title at top	MicroAppShell.tsx:80; AppHeader.tsx:225; Home.tsx:304	redundancy/visual confusion	Apply CONTEXT_REPEATS_H1 rule to the home route	Home.tsx:304 overline confirmed; shell contextLabel mechanism confirmed	Visual capture without duplication	Revert commit
