item_id	item	route	viewport	action_sequence	expected	actual	storage_effect	console_or_pageerror	evidence_paths	reproduction_status	evidence_class	notes
SETUP-1	setup journey: boot gate + wallet-skip path	/ (gate) -> /setup -> /?setup=1	390x844 @2x touch	boot https://micro-prototype.pages.dev/ fresh profile; wait gate; type project name «UXFLASH-INVESTIGATION-20260925»; step fwd/back + retype during 35s silence window; click «تخطَّ المحفظة الآن — أسجلها لاحقًا من «المالية»»; capture Home	zero non-GET requests and zero synthetic-string requests before data entry; profile created without wallet; Home honest placeholders	silence window 190 requests all GET, 0 data-bearing, 0 synthetic leaks (silent=true); URL after skip /?setup=1; Home shows «تم إنشاء مشروعك «UXFLASH-INVESTIGATION-20260925» — ابدأ الآن بتسجيل أول عملية…», «يومك مفتوح», «ما لا تسجله لا يُخترع له رقم», unknowns as «غير مسجل — سجّله»	typing name created form-drafts setup:new (diff-00-to-01); skip completed = activity-profile local-profile + owner-profile local-owner-profile added AND setup draft REMOVED (diff-01-to-02); no wallet, no financial stores	s3-01: 0 console msgs, 0 pageerrors	evidence/S3/notes/s3-01-notes.json; evidence/S3/censuses/census-00-before-typing.json; evidence/S3/censuses/diff-00-to-01-typing.diff.json; evidence/S3/censuses/diff-01-to-02-setup-skip.diff.json; evidence/S3/screenshots/s3-01-0120-splash-settled-setup-step1.png; evidence/S3/screenshots/s3-01-0180-home-after-setup-skip.png; evidence/S3/requests/s3-01-silence-window.json	REPRODUCED	VERIFIED	skip path writes profile records but no wallet (VIS-016 consistent); setup form draft is contract-36 non-financial and cleared on completion
SETUP-2	setup journey: re-entry step 3 opening-position unknown	/setup -> /?setup=1	390x844 @2x touch	re-enter /setup with profile existing; name; التالي; التالي; step 3 «شو وضع الدرج هلق؟»; select «الموقف الافتتاحي»=unknown; «احفظ وابدأ في مشروعي الآن»	unknown path creates wallet flagged unknown, never a zero opening balance	/setup still reachable with existing profile; note «ستبقى المحفظة «غير محددة»» present; save -> /?setup=1; Home «الكاش المسجل 0.00» + unknowns «غير مسجل — سجّله»	diff-skip-vs-unknown-wallet: ONLY cash-wallets 0->1 («الدرج», kind cash_drawer, openingStatus "unknown") + activity-profile updatedAt; no other stores	0 console; 0 pageerror (s3-02)	evidence/S3/notes/s3-02-notes.json; evidence/S3/censuses/diff-skip-vs-unknown-wallet.json; evidence/S3/screenshots/s3-02-0310-setup-step3-opening-position.png; evidence/S3/screenshots/s3-02-0320-setup-step3-unknown-selected.png	REPRODUCED	VERIFIED	honest unknown opening (never zero); skip-vs-unknown delta is exactly one wallet record
F1	statement equation line omits direct-sale known cost	/finance/statement	390x844 @2x touch	after synthetic sale 12.75 (cost 5.50, collected 12.75) and expense 2.50: open Statement, read result card equation	equation must show ALL components (sale, cost, expense, net) so visible operands reconstruct the net	«نتيجة الفترة المسجلة 4.75 د.أ» with equation «إيراد معترف به 12.75 د.أ − تكلفة مباشرة 0.00 د.أ − مصروف موزّع 2.50 د.أ — ضمن الفترة فقط.»; the 5.50 known direct-sale cost is subtracted in the result (12.75−5.50−2.50=4.75) but absent from the displayed equation (visible operands give 10.25); same omission before expense (equation 12.75−0.00−0.00 with net 7.25)	display-only; no store change	0 console; 0 pageerror (s3-04, s3-04b)	evidence/S3/notes/s3-04-notes.json (statement_after_text_head); evidence/S3/notes/s3-04b-notes.json (f1_statement_result_section); evidence/S3/screenshots/s3-04-0680-statement-after-expense.png; evidence/S3/screenshots/s3-04b-0698-statement-result-section.png	REPRODUCED	VERIFIED	matches FI-2 FI2-08 (Statement.tsx L591-593 omits directSaleCostKnownMinor); refinement vs FI-2: the expanded period-comparison block on the same page DOES list «تكلفة بيع مباشر معروفة | الحالية 5.50 · السابقة 0.00 · الفرق -5.50», so the component is on the page but not in the equation
F1-FIN	Finance period view full component list	/finance?view=period	390x844 @2x touch	open /finance; click «افتح نتيجة الفترة»; open all details; extract dl rows	full component breakdown incl. known direct-sale cost	result 4.75 · status «مسجل» · range «النطاق المحدد: 09/2026 — 09/2026…»; rows include «إيراد بيع مباشر (بتاريخ البيع) = 12.75», «تكلفة بيع مباشر معروفة = 5.50», «التكلفة المباشرة المستخدمة = 0.00», «مصروف للمشروع = 2.50»; cash-bridge row «توقيت المواد … = +5.50»; but the headline formula sentence «إيراد الطلبات والبيع المباشر − التكلفة المباشرة المستخدمة − المصروف التشغيلي الموزّع − الإهلاك والشطب المسجّلين + نتيجة التخلص وعربون محتفظ مصنَّف» also omits the known direct-sale cost (would compute 10.25)	display-only; no store change	0 console; 0 pageerror (s3-04d)	evidence/S3/notes/s3-04d-notes.json (f1_finance_period_rows_full); evidence/S3/screenshots/s3-04d-0701-finance-period-view-all-open.png	PARTIALLY_REPRODUCED	VERIFIED	Finance deep reading is complete at row level (FI-2 PASS) but its one-line formula sentence shares the Statement omission; net itself correct
F2	period-comparison sign direction (الفرق = previous − current)	/finance/statement	390x844 @2x touch	after sale+expense: click «قارن مع الفترة السابقة»; expand comparison details; read summary number + rows	yardstick: current net +4.75 (margin 7.25 − expense 2.50), previous 0 → correct change-vs-previous = +4.75; FI-2 static predicts display shows previous−current = −4.75	collapsed summary «مقارنة الفترتين من 13/09/2026 إلى 19/09/2026 -4.75 د.أ» (bare number, no direction label; read -7.25 before expense); row «نتيجة الفترة المسجلة | الحالية 4.75 · السابقة 0.00 · الفرق -4.75»; revenue row «إيراد بيع مباشر | الحالية 12.75 · السابقة 0.00 · الفرق -12.75» (growth displayed negative); range label «الحالية: من 20/09/2026 إلى 26/09/2026 — السابقة: من 13/09/2026 إلى 19/09/2026»; statuses «مسجلة فقط» + «فترة جارية غير مكتملة — أحد هذه الفترات ما زالت مستمرة، فأرقامها جزئية حتى تكتمل.»	display-only; no store change	0 console; 0 pageerror (s3-04)	evidence/S3/notes/s3-04-notes.json (f2_summary_after_expense, f2_comparison_lines_after_expense, f2_range_label_after_expense); evidence/S3/screenshots/s3-04-0690-statement-comparison-open-after-expense.png; evidence/S3/screenshots/s3-04-0630-statement-comparison-collapsed-before-expense.png	REPRODUCED	VERIFIED	browser confirms FI-2 FI2-09 exactly: displayed الفرق = previous−current for every row, so improvements read as negative; collapsed summary number carries no direction wording
F3	quick-expense sheet: header wording vs required بند	/ (quick sheet)	390x844 @2x touch	Home -> «سجّل مصروفًا»; read sheet; submit empty; submit amount 0; submit 2.50 with empty بند	field wording must match validation (بند required)	sheet text «سجّل مصروفًا الآن … مبلغ وبند اختياري — يتم التسجيل هنا فوق شاشتك من دون انتقال.»; amount label «المبلغ المدفوع بالدينار الأردني» (no required marker) but «البند» carries «مطلوب»; empty submit -> «أدخل مبلغ المصروف بالأرقام 0–9.»; zero -> same; valid amount + empty note -> «اكتب ما حدث قبل الحفظ؛ الوصف جزء من السجل المالي.»	zero writes across all invalid submits and both discards (diff-05-to-06 {} and diff-06-to-07 {})	0 console; 0 pageerror (s3-02)	evidence/S3/notes/s3-02-notes.json (f3_sheet_text, f3_invalid_empty_error, f3_invalid_zero_error, f3_note_required_error); evidence/S3/screenshots/s3-02-0340-quick-expense-sheet-open.png; evidence/S3/screenshots/s3-02-0370-quick-expense-missing-note-error.png	REPRODUCED	VERIFIED	matches FI-2 FI2-05 (QuickActionSheet.tsx L204-210 «بند اختياري» contradicts required-بند validation); category chips «تصنيف سريع (اختياري)»; date defaults today
F3-GUARD	quick sheet dismissal guard (AUD-005 contrast)	/ (quick sheet)	390x844 @2x touch	with 2.50 typed: click X «إغلاق»; separately with 3.00 typed: press Escape	discard question before losing typed money	X -> question «في رقم مكتوب — تسجّله أو تتجاهله؟» + «الإغلاق الآن يفقد ما كتبته في هذه الورقة؛ لا يوجد حفظ تلقائي.» with buttons «سجّله الآن» (save) / «تجاهل ما كتبت» (destructive); Escape -> SAME discard question (not instant close); «تجاهل ما كتبت» closes the sheet	zero writes (censuses 06/07 unchanged)	0 console; 0 pageerror (s3-02)	evidence/S3/notes/s3-02-notes.json (f3_discard_question_shown, f3_discard_wording, f3_discard_button_order, f16_escape_sheet_discard_question); evidence/S3/screenshots/s3-02-0380-quick-expense-discard-question.png; evidence/S3/screenshots/s3-02-0400-quick-expense-escape-behavior.png	REPRODUCED	VERIFIED	QuickActionSheet HAS the two-choice guard — the reference pattern the three money sheets lack (AUD-005)
F4-A	direct sale invalid submit: error + zero records	/direct-sales/new?returnTo=%2Forders	390x844 @2x touch	discard restore banner «عندك مسودة» («تجاهلها»); fill «ما الذي بعته؟» only; «حفظ البيع المباشر»	blocking inline error; NO financial record written	error «أدخل المبلغ والكمية بالأرقام 0–9 قبل الحفظ — المبلغ هو الحقل الإلزامي الوحيد.»; store counts directSales=0, financialEvents=0; diff-09-to-10 {}	only non-financial form draft direct_sale:new (created by typing; contract 36)	0 console; 5 pageerrors all TEST_HARNESS_ARTIFACT (boot census; see summary pageerror section)	evidence/S3/notes/s3-03-notes.json (f4_invalid_submit_error_text_found, f4_invalid_submit_store_counts); evidence/S3/censuses/diff-09-to-10-after-invalid-submit.diff.json; evidence/S3/screenshots/s3-03-0520-sale-form-invalid-submit-error.png	REPRODUCED	VERIFIED	confirms FI-2 F4 PASS: validation precedes any service/store call; pageerrors unrelated to app (fired pre-navigation during storage census on the denied initial page)
F4-B	direct sale valid submit: success + honest receipt	/direct-sales/new?returnTo=%2Forders	390x844 @2x touch	fill item «UXFLASH-INVESTIGATION-20260925 كوب»; price 12.75; collected 12.75; cost select «نعم، أعرفها» + 5.50; note «بيع مباشر UXFLASH-INVESTIGATION-20260925»; save	success screen with honest receipt; sale + cash continuity written	«سُجّل البيع»; receipt «السعر الفعلي: 12.75 د.أ · قُبض الآن: 12.75 د.أ», «قُبض المبلغ كاملًا — لا دين من هذا البيع.», «نُسب القبض إلى «الدرج»: 12.75 د.أ — حركة موثقة في دفتر المحفظة.», «سُجل محليًا على هذا الجهاز — الضغط مرتين لا يضاعف أثرًا.»; optional materials-consumption CTA «سجّل استهلاك مواد لهذا البيع»	direct-sales +1 (revenue 1275, collected 1275, cost 550, profit 725, status active); cash-continuity-entries +1 (allocation +1275 to drawer, note «توزيع قبض بيع من محرر البيع»); form draft cleared (form-drafts 1->0); NO financial-event row for the sale	0 console; 0 pageerror this phase	evidence/S3/notes/s3-03-notes.json (f4_success_text); evidence/S3/censuses/diff-11-to-12-after-valid-sale.diff.json; evidence/S3/screenshots/s3-03-0541-sale-success-receipt-full.png	REPRODUCED	VERIFIED	receipt honesty PASS (receipt≠profit phrasing, wallet attribution, double-press note); direct-sale cash tracked via direct-sales + cash-continuity allocation rather than financial-events
F11	Work empty-state CTA «سجّل أول بيع»	/orders -> /direct-sales/new?returnTo=%2Forders	390x844 @2x touch	Work with zero records; locate CTA (BUTTON micro-prim-button micro-prim-button--create, text «سجّل أول بيع»); click; compare URL + scroll; return via in-app back	defect claim: CTA only scrolls / does not perform the promised action	real writer navigation: URL /orders -> /direct-sales/new?returnTo=%2Forders; scroll 0,0 -> 0,5 (incidental); «تسجيل بيع مباشر» heading + full form after click; in-app back («العمل») returns to /orders; Home by contrast has NO «سجّل أول بيع» button (phrase only in quiet text; Home CTAs are «سجّل بيعًا»/«سجّل مصروفًا»/«طلب من عميل»)	F11 click wrote NOTHING (original census-04 held only activity-profile + owner-profile; no direct-sales/financial-events/drafts)	0 console; 1 pageerror TEST_HARNESS_ARTIFACT (boot census)	evidence/S3/notes/s3-01b-notes.json; evidence/S3/notes/s3-01-notes.json (home_first_sale_cta_elements=[]); evidence/S3/censuses/diff-03-to-04-f11-nav.diff.json; evidence/S3/screenshots/s3-01b-0240-work-empty-cta-visible.png; evidence/S3/screenshots/s3-01b-0251-after-cta-click-full.png	NOT_REPRODUCED	VERIFIED	as a defect claim NOT_REPRODUCED: CTA performs the promised action (navigates to the direct-sale writer with returnTo); no scroll-only behavior
