id	surface	route	region	severity	evidence_class	evidence_kind	problem	impact	v2_relation	micro_contract_relation	classification	owner_decision_required	minimum_safe_next_step	dependencies	acceptance_criteria	rollback_boundary	evidence_reference
VIS-001	Home;Work;Tools	/ ; /orders ; /tools	header + page heading	MEDIUM	VERIFIED	RENDERED	Systemic seat-name duplication in first ~150px on 3 of 4 surfaces via two mechanisms: Home and Tools render header context label identical to page overline (مشروعي الآن / أدواتي); Work renders header context identical to page h1 (العمل). Finance is the model: context suppressed + task-descriptive overline	Repeated identical label costs vertical space and weakens the task-first heading pattern; the strongest heading on Tools (احسب قبل أن تلتزم) is preceded by a duplicate seat label	V2 NAVIGATION-MAP header variant is owner-deferred (OD-10); this finding is shell-internal consistency not V2 convergence	Shell rule CONTEXT_REPEATS_H1 (MicroAppShell.tsx:22-29) exists but covers only 6 paths and neither the Home/Tools overline case nor /orders	FIX_NOW	Yes (light: which element owns the seat name per surface)	Owner picks owner-element per surface; then minimal CSS/logic change: extend suppression logic (add /orders to CONTEXT_REPEATS_H1 for the h1 case; suppress context label where overline already names the seat)	Shell logic only; no data/schema/export impact; bundle headroom noted	No surface shows the seat name twice in the first viewport; R2/Nav dom tests still pass	CSS/shell-logic only change; revert restores prior context-label rendering; no data migration	probes via verify-context-labels.js output; captures light/{home,work,tools}_first-use_360_first-viewport.png; MicroAppShell.tsx:22-29; Orders.tsx:140; Home.tsx:304; Tools.tsx:75
VIS-002	Home	/	أرقامك numbers grid	LOW	VERIFIED	MIXED (RENDERED+STATIC_CODE)	AUD-008 rendered-confirmed: .micro-home-numbers remains 2-col (140px 140px) at 320px; CSS comment claims narrow vertical wrap that does not exist (index.css:2629-2630)	Comment/code mismatch misleads future maintainers; visual severity low (no overflow; panels fit at 140px)	Neutral	Comment accuracy; owner note in prior audit stands	FIX_NOW	No	Either add a <=340px collapse rule (grid-template-columns: minmax(0,1fr)) or correct the comment; owner preference	CSS-only; DEVICE-001 real-device confirmation optional	Comment matches implementation or panels stack at <=340px with no overflow; pnpm check green	CSS-only revert; zero data impact	width320 metrics in dom/surface-metrics.json (numbersGrid cols=140px 140px); index.css:2629-2630
VIS-003	Home;Work;Finance;Tools	/ ; /orders ; /finance ; /tools	decision panels; quick tiles; warning card	MEDIUM	VERIFIED	RENDERED	Peach (brand-soft) emphasis grammar carries >=3 semantic roles (primary quick tile on Home / decision panels on Work+Finance / warning-limits card on Tools) and side-border accent has 4 parameter variants (3px vs 4px width; #C96442 vs #D97757 color; 0 16 16 0 vs 16px radius; present vs absent)	Emphasis system does not yet encode one stable meaning; cross-surface scanning cannot learn a single peach/border rule; feeds AUD-014 tint overload	Not a V2 convergence item; V2 uses tone tokens per role	Related to AUD-014 (--vf-tint triple duty) and recorded brand-soft consumers	DEFER	Yes	Owner decision: unify grammar (one border width/color/radius per role) or document per-surface meanings in one place; then CSS-only alignment inside existing tokens	Contrast guard 92 pairs; token bridge; no TSX	Each emphasis role has a documented meaning and a single parameter set; guards pass	CSS-only; revert per rule; no data impact	crosscheck-styles.js computed outputs (decision-panel/decision-surface/cash-decision/truth/decision-card); captures of 4 surfaces
VIS-004	Work	/orders	decision-surface h2	LOW	VERIFIED	RENDERED	Two h2 tiers on one page: مبيعاتي renders 24px/600 (inside .micro-decision-surface h2 { font-size: 1.5rem }) while sibling section h2s render 18px	Heading-level semantics vs visual size mismatch: a panel title out-ranks sibling section titles of the same level	Neutral	Micro component rule (index.css:1725); intentional	DEFER	No	If touched later: use h3 for panel titles or document the two-tier h2 convention; not urgent	Type scale tokens frozen by guards	Either single h2 tier or a documented convention; no visual regression	CSS/markup-light revert	index.css:1725-1729; dom/surface-metrics.json Work headings
VIS-005	Home	/	primary quick-action tile	MEDIUM	INFERRED	RENDERED + VLM-assisted + STATIC_CODE	Primary quick tile (سجّل بيعًا) wears brand-soft bg + border rather than filled action color; VLM reader interpreted it as selected or error state; primary-action meaning is not self-evident	First-use user may not recognize the recommended action; related to recorded W4 decision (verb carries meaning not color)	V2 uses filled action #A94630 for primary actions	W4 owner record (save-class navigation CTAs); NAV-001 (3 fixed actions)	DEFER	Yes	Owner decision: keep brand-soft primary tile (soft emphasis) or align with filled action contract; document either way	Contrast guard; primitives Button action classes	Decision recorded; if changed: primary tile clearly reads as the action to press per owner judgment	CSS-only revert; no data impact	VLM analysis /tmp/vlm-home.json (selected/error reading); computed styles quickActionPrimary (#FBE9E2 bg + ink); Home.tsx:515-530
VIS-006	All four	/ ; /orders ; /finance ; /tools	interaction safety sweep	POSITIVE	VERIFIED	INTERACTION	Positive confirmation: 18 safe probes executed with zero financial writes and zero console errors; dirty-dismissal asks before losing input; repeated close = stay; discard leaves no record and no success feedback; guard dialogs order stay-first; back navigation clean	Confirms the prior report chapter 13 claims for the first-use-reachable subset	Neutral	Contracts 05/28 + UnsavedChangesGuard + QuickActionSheet guard tests	PRESERVE	No	None; keep guard tests frozen; re-probe populated states when safe data exists	Existing test suites	All future probes keep stores at 0; guards remain test-frozen	No change proposed	probe-log.json (P-01..P-18); storage-census-after-captures.json
VIS-007	All four	/ ; /orders ; /finance ; /tools	PWA offline behavior	POSITIVE	VERIFIED	INTERACTION	Positive confirmation: with network offline the app renders and navigates fully from the service-worker precache; local-first claim is functional not just copy	Local-first honesty verified functionally in browser	Neutral	D-02 offline truth lines; PWA precache (185 entries)	PRESERVE	No	None; note for DEVICE-001 that offline field behavior should match	PWA registration tests	Offline navigation continues to serve cached surfaces	No change proposed	P-13 in probe-log.json; capture probes/p13-offline-finance_360.png
VIS-008	All four	/ ; /orders ; /finance ; /tools	touch targets; responsive containment; dark parity	POSITIVE	VERIFIED	RENDERED	Positive confirmation: zero sub-44px interactive targets on all surfaces at 320/360/390/430; zero horizontal overflow anywhere; header 61px + nav 71px identical across surfaces; dark mode preserves geometry exactly (doc heights equal light vs dark)	Strengthens the a11y and responsive claims of the prior audit with rendered numbers	Neutral	V2 touch floors 48/44; W5/D1 dark rebind	PRESERVE	No	None; keep guards (U09 px guards; contrast 92 pairs)	frozen guard suites	Metrics remain within guards on future checks	No change proposed	dom/surface-metrics.json (smallTargets=[] all surfaces; docOverflowX=false; dark docHeight identical)
VIS-009	All four	/ ; /orders ; /finance ; /tools	text scaling	LOW	VERIFIED (SIMULATED)	RENDERED	Simulated text scaling (root font-size 125% in-memory): no horizontal overflow; rem-based layout absorbs scaling. Real-device font scaling NOT_EXECUTED	Partial confidence only; Android system font scaling can differ from a root-override simulation	Neutral	369 rem font-sizes; zero px font-sizes (prior census)	PRESERVE	No	Execute real-device text scaling under DEVICE-001	DEVICE-001 gate	Real-device 125%/150% passes without overflow or clipped Arabic	No change proposed	P-15 in probe-log.json; capture probes/p15-textscale-125_360.png
VIS-010	Finance	/finance	page density	MEDIUM	VERIFIED	RENDERED	AUD-021 rendered-confirmed: Finance first-use renders 3825px (~5 viewports) and 2846 chars of main text with zero records; copy is contract-mandated and honest but the surface is the density outlier by far	First-use owner faces a long read before the first action; density lever is owner-gated ratchet	Neutral	Contract-mandated copy (U-002; flow 23; truth blocks)	DEFER	Yes	Owner ratchet record required before any reduction pass (per AUD-021); candidate: collapse secondary layers behind details by default	Owner copy ratchet (text-density-count.py CAPS); contract wording frozen	Density decision recorded; any reduction keeps contract wording intact	Content-only revert; zero data impact	dom/surface-metrics.json finance (docHeight=3825; chars=2846); capture light/finance_first-use_360_full.png
