id	pattern	surface_route	source	file_line	meaning	visual_prominence	label_verb_ar	touch_target	keyboard_focus	state_distinctions	loading_behavior	dup_press_protection	success_proof	error_recovery	cancel_behavior	financial_consequence	prior_relation_notes
INV-001	Button primitive 8 action classes	shared all surfaces	components/primitives/Button.tsx	Button.tsx:18-19	Owned action-class system: create/save/commit/secondary/outline/ghost/quiet/destructive	per class (see rows)	n/a (container)	min-height var(--vf-control-height)=48px (vf-tokens.css:110)	yes (native button, global focus ring index.css:147)	disabled opacity .5 cursor not-allowed (primitives.css:118-121)	loading prop: aria-busy + disabled + spinner aria-hidden + onClick undefined (Button.tsx:48-59)	loading disables + onClick detached	native button semantics	developer contract	rest is default	none inside button (comment line 15)	W2 contract
INV-002	action=create (30 usages)	new-record entry points	95 files total	rg action="create"	30 usages	Clay identity fill, dark text (primitives.css:127-133)	«أضف/أنشئ» verbs	48px	native	pressed bg change; disabled opacity	no spinner usage with create in rg	text label persists	per consumer	per consumer	per consumer	write-opener (opens form) — actual write later	inventory count 2026-09-25
INV-003	action=save (125 usages)	ordinary save/confirm	95 files	rg action="save"	125 usages	warm ground + ink + inset hairline; pressed = 2px clay edge, surface stays warm «الضغط ليس نجاحًا» (primitives.css:136-144)	«سجّل/احفظ/أكّد»	48px	native	pressed vs disabled distinct	no global spinner; per-form text «جارٍ…» or disabled={saving}	per form (see INV-047 etc.)	per form	receipt/notice per form	retry same key per form	per form	primary write action inventory count [normalized: source row had 19 cols]
INV-004	action=commit (8 usages)	high-consequence commit	95 files	rg action="commit"	8 usages	filled warm ink + white text (primitives.css:146-152)	commit verbs	48px	native	pressed darker #3D3D3A	per consumer	per consumer	per consumer	per consumer	per consumer	highest-consequence writes (with independent confirm at consumption per Button.tsx:8-9)	inventory count
INV-005	action=secondary (177 usages)	neutral secondary	95 files	rg action="secondary"	177 usages	neutral tint + ink (primitives.css:154-160)	«ألغِ/رجوع/افتح»	48px	native	pressed bg	varies	per consumer	per consumer	per consumer	per consumer	mostly navigation/cancel — also used for permanent delete confirm (AUD-006) and nav CTAs (W4)	inventory count
INV-006	action=outline (1 usage)	boundary action	rare	rg action="outline"	1 usage	white surface + interactive border (primitives.css:162-166)	—	48px	native	—	—	—	—	—	—	near-dead variant (1 use)	inventory count
INV-007	action=ghost (0 usages)	tertiary quiet	none	rg action="ghost"	0 usages	transparent bg tertiary ink (primitives.css:168-171)	—	48px	native	—	—	—	—	—	—	dead variant — 0 consumers; CSS exists	inventory count; contrast AUD-022 dead fab
INV-008	action=quiet (40 usages)	documented correction/reversal entry	95 files	rg action="quiet"	40 usages	hairline border + transparent bg + interactive ink; 48px base (primitives.css:175-182)	correction/reversal verbs	48px floor (comment: exceeds 44px minimum MR-03/U09)	native	hover ground fill	per consumer	per consumer	per consumer	per consumer	per consumer	corrections layer entry (quiet by design per Button.tsx:10-11)	inventory count
INV-009	action=destructive (12 usages)	error-ink destructive	95 files	rg action="destructive"	12 usages	error ink + border + outline bg (primitives.css:184-191)	delete/discard verbs	48px	native	pressed ground fill	per consumer	per consumer	per consumer	per consumer	per consumer	destructive writes with confirmation at consuming surface (Button.tsx:12)	inventory count; contrast AUD-006 (delete confirm is secondary NOT destructive)
INV-010	Button spinner (loading)	shared	Button.tsx:59 + primitives.css:194-207	spinner span aria-hidden + label persists; layout stable (no shift); aria-busy on button; animation micro-prim-spin 1.2s; reduced-motion 3s (primitives.css:477-479)	spinner + persistent label	—	n/a	n/a	loading=disabled	n/a	n/a	n/a	only 3 real usages (ExpenseBudgetsSectionBody.tsx ×3) — most forms use text-change instead	n/a	n/a	n/a	n/a [normalized: source row had 14 cols]
INV-011	ChoiceButton selected choice	choice rows	components/primitives/ChoiceRow.tsx	ChoiceRow.tsx:50-61	neutral selection toggle: aria-pressed; selected = 2px clay-interactive inset edge + font-weight 700 + 8px dot ::before (non-color cues) (primitives.css:246-257)	neutral secondary surface	choice labels	48px	native	aria-pressed; disabled aria-disabled + opacity	none	none (instant state)	state itself	—	—	pure display state; financial meaning owned by screen (contract line 13-14)	contrast: AUD-004 chip lacks the non-color cue
INV-012	Field label/hint/error wiring	forms	components/primitives/Field.tsx	Field.tsx:30-65	label htmlFor=controlId; error auto-wires aria-invalid + aria-describedby onto control via cloneElement (P-4.4-5, lines 34-44); error <p role=status id={controlId}-field-error> with StateMarker role=alert; hint 12px non-financial metadata; error keeps inputs (recovery never clears owner input, header comment)	surface white + structural border	focus outline 2px var(--vf-focus) on input:focus-visible (primitives.css:402-405)	native error mode data-invalid + .micro-prim-field--error	n/a	n/a	n/a	word + alert marker	in-place retry	n/a	n/a (display only)	W2 input contract	n/a [normalized: source row had 17 cols]
INV-013	StatusChip state word	shared	components/primitives/StatusChip.tsx	StatusChip.tsx:52-65	state word (product-owned children, never generated) + non-color StateMarker + semantic tone data-tone; white surface for 3:1 non-text; 13px font floor	neutral chip	status words	(not interactive)	n/a	5 knowledge keys neutral (unconfirmed/incomplete/needs-review/estimated/unknown-magnitude) + 4 activity + semantic	n/a	n/a	n/a	n/a	n/a	n/a	AUD-025 knowledge-coloring duality deliberate (PRESERVE)
