element_or_pattern	file(s)_with_counts	semantic_type	variant(s)	states_implemented	touch_keyboard_a11y_evidence	problem	classification	minimum_safe_recommendation	consumers_risks
Button primitive (micro-prim-button)	components/primitives/Button.tsx; imports ~95 files (>=80 verified named; 96 barrel-import files)	action	create; save; commit; secondary; outline; ghost; quiet; destructive; block; loading	rest; active(scale .97 + variant pressed edge); disabled(opacity .5); loading(spinner + aria-busy + onClick removed + label persists); focus-visible(--vf-focus)	48px floor; native button; type=button default; aria-busy on loading; reduced-motion honored (primitives.css:472-480)	success state intentionally absent (pressing is not success, Button.tsx:7-8); no compact/icon variant	PRESERVE	none; keep contract frozen (primitives.test CSS strings)	all financial forms; visual changes trigger frozen tests
ChoiceRow/ChoiceButton (micro-prim-choice)	components/primitives/ChoiceRow.tsx; G5DeclarationEditor; AssetEditor (+tests)	selection	unselected; selected; disabled	rest; active scale .97; selected(2px clay inset edge + weight 700 + 8px dot ::before); disabled opacity .5	48px; aria-pressed; aria-disabled; name group prop	toggle semantics not radiogroup (fine for pairs); no compact variant	PRESERVE	none	selection contract is the V2-mapped grammar; keep dot+edge cues
micro-icon-button	13 instances / 10 files: Tools; CostEditor; Schedule x2; PwaInstallControl; PwaRuntimeNotice; CatalogTemplatesSection; ActualTimePanel; MaterialSheet; QuickActionSheet; AppHeader x3	action (icon-only)	single neutral variant	rest; hover(bg-well, fine pointers); active scale .97; disabled(global opacity .5)	44x44 (index.css:328-332); ALL 13 instances carry Arabic aria-label (verified individually); icons aria-hidden	no fill/active variants vs V2 IconButton (regular/fill/active)	PRESERVE; V2 variants DEFER (F2-15)	none now; variant work after owner decision (interlocks OD-10/D-12)	header/sheet/panel close; month nav; row add/remove
micro-delete-row	pages/CostEditor.tsx:425-429 (icon-only); pages/CostCalculator.tsx:412-418 (text+icon)	action; destructive	delete material row	rest; active(bg ground); danger ink+bg constant	44x44 (index.css:1352-1356); CostEditor aria-label حذف مادة X; CostCalculator visible text احذف المادة	single-click draft material delete without confirm (scratchpad rows, low stakes)	PRESERVE (draft scope)	document reversibility or add quiet confirm if rows become persisted (F2-08)	CSS cascade scoped by WS-183 comment (index.css:1348-1351)
micro-text-action	pages/Home.tsx; Orders; Statement; EventsLayer; ~25 files (201 aria-label occurrences overall)	action; navigation; selection (aria-pressed)	plain; with icon; aria-pressed selected variant	rest; selected(2px clay underline, index.css:511-519); disabled opacity .5	min-height 44px; min-width 48px; 13px 600; 18px icon aria-hidden	one visual family used for both navigation and toggles (labels disambiguate)	PRESERVE	none	period presets + event scope toggles rely on the underline cue
micro-back-button	pages/Parties.tsx:104; Catalog:656; Settings:597; FinanceActivity:234; +~20 editor pages	navigation	back to return source	rest; accent-text; focus-visible	min-height 44px (index.css:1108-1124); text label رجوع/destination; ArrowRight aria-hidden (RTL back = right)	none	PRESERVE	none	returnPath via useReturnNavigation; keep contextual labels
micro-quick-action (+ -primary)	pages/Home.tsx:522-586 (3 fixed + catalog + more)	action quick tiles	plain; primary (accent-soft fill + accent border when no priority block)	rest; active(accent-soft fill, index.css:2612-2614)	96x76 tile; 13px label + 22px icon aria-hidden; text label is the name	primary tile fill shares accent-soft family with selected chips (transient only)	PRESERVE	none	NAV-001 owner decision moved these to Home; do not re-centralize
micro-sheet-action	components/layout/QuickActionSheet.tsx:252-286 (5 items); CSS index.css:903-945,4199-4207	action menu rows (bottom sheet)	plain; disabled	disabled(opacity .68 + saturate .65 + well icon); rest; hover; active	64px row; strong+small text labels; disabled+aria-disabled props (no item currently disabled)	disabled reason string not rendered (prop-level only)	PRESERVE	render reason text if items ever set disabled=true (F2-20)	sale/expense in-sheet; others routed
micro-draft-row / micro-intent-card	pages/Orders.tsx:197-228,243-278,302-332,426-447; NewDraft.tsx; CSS index.css:1176-1246	navigation (whole row)	plain; data-selected (intent card)	rest; hover(text accent, fine pointers); active(bg well); selected(accent text + well bg)	76px full-row button; strong/small text; trailing ChevronLeft cue; direct-sales rows add aria-label فتح بيع X	none — exemplary pattern	PRESERVE	none	OrderWorkRow next-action line is the model for V2 OpenRow
micro-home-recent-item	pages/Home.tsx:694-722	navigation (whole row)	plain	rest; active via shared button styles	full-row button; time/strong/small text; amount MoneyValue; key per change	none	PRESERVE	none	links to /finance/activity record
micro-home-fact / PeriodNumberRow money buttons	pages/Home.tsx:65-104,162-192	navigation (value-as-button)	known value button; road button (غير مسجل — سجّله)	rest; underline family via micro-text-action	money rendered inside button with aria-label افتح X; min-height 44	money-as-button must keep aria-label (name would be digits only)	PRESERVE	none	V2 maps this to OpenRow with money value
BottomNav item (micro-nav-item)	components/layout/BottomNav.tsx; CSS index.css:699-758	navigation	5 equal seats (مشروعي الآن/العمل/المالية/أدواتي/السوق)	unselected(secondary ink); selected(action ink + weight 600 + aria-current=page); active scale .97	min 56px height, min-width 44; 24px icon aria-hidden; 13px label; navigates through UnsavedChangesGuard (MicroAppShell.tsx:91-93)	quad-mark identity cue deferred (GAP-002/D-12 documented in CSS comment 748-750)	PRESERVE; quad-mark DEFER (D-12)	none	do not add pill (rejected by V2)
AppHeader logo button + menu	components/layout/AppHeader.tsx:199-290	navigation menu	trigger + role=menu, 2 groups (account/project; system)	menu open(aria-expanded); Escape closes + focus returns to logo; ArrowDown/Up/Home/End cyclic; outside pointerdown closes	logo button >=44x44, aria-label قائمة Micro, aria-haspopup=menu; items role=menuitem icon+text; note بياناتك محفوظة على هذا الجهاز	none — honest future entries (قريبًا)	PRESERVE	none	account label adapts (أكمل إعداد الحساب vs الحساب)
Soon panels (transport/assistant)	components/layout/AppHeader.tsx:291-317	information (future capability)	dialog panels with honest قريبًا copy	open(role=dialog aria-modal=false); Escape + focus trap + focus return to trigger; backdrop click closes	trigger micro-icon-button 44px with aria-label + title + aria-haspopup=dialog	none — copy explicitly denies booking/AI	PRESERVE	none	NAV-001 owner decision documented in file header
micro-fab	index.css:759-797 (CSS only); Nav001.dom.test.tsx:102 asserts absence	action (floating)	none	none	0 production consumers; guard test asserts element null	dead interactive rule family retained after NAV-001 removed central record button	DEFER (F2-10)	verify guard-scaffold intent in next CSS-hygiene wave; removal CSS-only but keep absence test	Nav001 test freezes absence
micro-chip + chip stop button	components/catalog/CatalogUnitsSection.tsx:141-153; QuickExpenseForm.tsx:302; FinancialEventEditor.tsx:1150; CSS index.css:5662-5708	status pill + embedded stop action	chip (accent-soft); chip-muted; inner stop button	rest; hover(color-mix 15%); active	stop button forced 44x44 with negative margins (chip 36px; index.css:5679-5692 comment: semi-destructive needs 44); aria-label إيقاف X; 15px icon aria-hidden	one-click stop without confirm and no visible reactivate path in same surface (CSS comment admits semi-destructive)	DEFER (F2-08)	document reversibility path next to chip or add quiet confirm	deactivateUnit/deactivateConversion one-way in this section
micro-suggest-chip	components/finance/QuickExpenseForm.tsx:299-316; FinancialEventEditor classification suggestions; CSS index.css:6132-6163	selection (category)	unselected(bg-well); selected(accent-soft + accent text)	rest; hover(= selected look); selected; active scale .97	44px; aria-pressed; title tooltip; role=group + aria-label on chip list	selection is color-only and identical to its own hover — violates its own non-color-cue comment (index.css:6130-6131) and ChoiceRow contract; WCAG 1.4.1	FIX_NOW (F2-05, CSS-only)	add non-color cue (check glyph, weight 700, or 2px edge) matching ChoiceButton grammar; keep 44px; mind frozen guards	quick-expense + event classification chips
StatusChip (micro-prim-chip)	pages/Orders; FinanceActivity x2; InventoryMaterials; Schedule; RecurringExpenseDetail (+tests) — 5 production files	status	word (product-owned) + marker; tones success/error/info/partial/status/neutral	rest only (non-interactive)	28px pill; 13px word; marker hue on white surface only (3:1 non-text); data-tone + data-family	none (informational)	PRESERVE	none	partial is its own neutral tone per OD-02 (primitives.css:72-75)
StateMarker (micro-prim-marker)	components/primitives/markers.tsx; via StatusChip/Notice	status	dot; partial; tilde; check; alert; clock; eye; question (stateAdapter roles)	rest	8-12px shapes aria-hidden inside chips/notices	none	PRESERVE	none	stateAdapter is test-frozen
Notice/QuietCompletion/InlineError/FeedbackNote	components/primitives/Notice.tsx; consumers DraftEditor; CostEditor; Catalog; InventoryMaterials; DirectSaleEditor	feedback	neutral; info; quiet completion (check in ink); error-inline; explicit kind completion/advisory/error	rest; role=status (polite); error marker + role=alert at InlineError call sites	marker + word; error ink text-safe 5.46:1 on ground	none	PRESERVE	none	R1/D6 contract: no prefix guessing
Row/RowList (micro-prim-row)	pages/Home.tsx only (FactRow; RowList micro-home-fact-rows)	information row	lead/title/caption/state/trailing; optional stripe tone success/error/info/partial	stripe only with state slot (contract, primitives.css:310-331)	lead slot = --vf-touch-target tile; ul/li list semantics	consumed by 1 of ~60 pages — convergence question is owner-deferred	DEFER (row convergence, D-08-adjacent)	none	keep primitive frozen; convergence touches TSX (owner gate)
Field primitive (micro-prim-field)	0 production consumers (primitives.test.tsx + Accessibility.w44 test only)	input container	label; control; error; hint	rest; focus-visible(--vf-focus); error border (primitives.css:378-431)	>input/select/textarea child; 48px control; 13px label	dual field grammar vs 366 inline micro-field usages (D-08)	DEFERRED (D-08 owner record)	none until owner approves convergence	WS-183 already unified boundary+focus across both systems
Inline .micro-field family	366 exact className usages / 64 files (family 497 / 77 files incl. -hint/-grid/-wide/-error); CSS index.css:986-1064	input container	label span + small hint; error sibling	rest; focus(unified --vf-focus); error variant (micro-field-error role=alert at call sites)	label wrapper association; aria-label on number inputs; aria-describedby in quick forms (QuickSaleForm.tsx:237,251)	structural duplication with Field primitive (D-08)	DEFERRED (D-08)	none	highest-traffic interactive pattern; wide blast radius
EnglishNumberInput / EnglishQuantityInput	components/forms/EnglishNumberInput.tsx; EnglishQuantityInput.tsx; consumers across editors + quick forms	input (money/qty)	kind money/quantity; allowEmpty	rest; focus; validity callbacks + aria-invalid wiring at consumers	LTR digits 0-9 + dot only; aria-label at every audited call site (e.g. CostCalculator.tsx:408)	none	PRESERVE	none	englishNumeric application layer test-frozen
LocalDateField	components/forms/LocalDateField.tsx; OrderDetail; DeliveryReview	input (date)	native date	rest; focus; max=past at consumers	native input; aria-label at consumers	none	PRESERVE	none	date semantics owned by formatters
MoneyValue / MoneyWithUnit	components/presentation/DisplayValue.tsx:15-48; 304 occurrences / 55 files	information (financial value)	minor amount; showPlus; unit beside island	data-negative attribute; bdi dir=ltr isolation; unit in Arabic flow	not interactive itself; used as button label with aria-label افتح X in Home fact rows	words (غير مسجل/تقريبًا) deliberately external — word-ownership invariant vs V2 9-state MoneyValue	PRESERVE (owner decision recorded Phase 1 §17.1)	none	V2 word-generating MoneyValue would violate invariant
QuickActionSheet	components/layout/QuickActionSheet.tsx; provider app/quickRecording.tsx	action sheet (5 quick records)	modes: menu; sale-form; expense-form; receipt; confirmDiscard overlay	open/close; dirty-typed-input confirm (role=alertdialog 225-249); saving disables confirm; receipt role=status	X close aria-label إغلاق 44px; forms kept mounted+hidden so typed input survives mode switches; Enter submits sale form	none — receipt is real evidence (amount + cash + افتح السجل)	PRESERVE	none	sheet never creates financial effect itself (header contract)
QuickSaleForm	components/finance/QuickSaleForm.tsx	transaction form (sale)	full/credit; cost known/unknown; wallet optional	saving(disabled + جارٍ التسجيل + aria-busy); field vs save error split (aria-invalid + aria-describedby); impact preview role=status; error role=alert	idempotencyKey sheet-sale-UUID (:60,137); saveInFlightRef re-entrancy (:59,82,121)	none	PRESERVE	none	model for ephemeral financial entry
QuickExpenseForm	components/finance/QuickExpenseForm.tsx	transaction form (expense)	wallet source optional; category suggest chips; no-wallets warning branch	saving; error role=alert id=quick-expense-form-error (:332); impact preview role=status	idempotency + in-flight guard (same pattern as sale); wallet select aria-label مصدر الصرف للمصروف	suggest-chip selection color-only (F2-05)	FIX_NOW (F2-05)	see F2-05 row	see F2-05
RepaymentSheet (loans)	components/loans/RepaymentSheet.tsx	transaction sheet (loan repayment)	amount + confirm	saving(disabled + جارٍ الحفظ); error role=alert; offline note يُحفظ محليًا	Drawer Escape; amount aria-label مبلغ الدفعة; store idempotency loanService.ts:166	no typed-input discard question on close (contrast QuickActionSheet)	FIX_NOW (F2-07)	route close through a dirty check mirroring QuickActionSheet.requestClose	financial entry; silent loss of typed amount is the risk
ReceivedLoanRepaymentSheet	components/loans/ReceivedLoanRepaymentSheet.tsx	transaction sheet (received-loan repayment)	same recipe as RepaymentSheet	same	same (structural twin — POSSIBLE_RAPID_OR_TEMPLATE-BASED_VISUAL_PATTERN pair #1)	same discard-guard gap	FIX_NOW (F2-07, same change)	same	as above
MaterialSheet	components/cost/MaterialSheet.tsx	material pick/add sheet	close + add	rest	X close aria-label إغلاق إضافة المادة 44px	no dirty guard on close (single field, low stakes)	DEFER (low stakes)	align if F2-07 pattern lands	scratchpad material
