ID	category	source_reports	evidence_class	reproduction_status	affected_route_component_module	user_impact	financial_data_security_impact	classification	owner_decision_required	minimum_safe_next_step	dependencies	acceptance_criteria	rollback_boundary	relation
FI-001	financial-display	FI-2(FI2-08); FI-3(F1,F1-FIN); main-agent code verify	VERIFIED	REPRODUCED	/finance/statement Statement.tsx:591-593; /finance?view=period; projectFinancialService.ts:805-820	equation operands (12.75−0.00−2.50) do not reconcile to displayed net 4.75; owner cannot audit own result from the page	explanation layer only — resultMinor itself is canonical (subtracts directSaleCostKnownMinor correctly); no data corruption	FIX_NOW	NO	add directSaleCostKnownMinor to the equation line (and group-4 items when nonzero or keep them in deep block with an explicit "تفاصيل إضافية" pointer)	none	numeric row in a fixture test: displayed operands sum to displayed result for a period containing a known-cost direct sale	single TSX line revert	NEW (F1)
FI-002	financial-display	FI-2(FI2-09); FI-3(F2); main-agent code verify	VERIFIED	REPRODUCED	/finance/statement comparison block; Statement.tsx:219 (page passes current,previous); periodComparisonService.ts lineOf delta=B−A; service tests assert growth order	«الفرق -4.75» shown for a +4.75 improvement vs empty previous period; bare number with no direction label misleads the owner about period health	display only — stored values and service math correct; delta sign convention contradicts the service's own tests (+ = growth)	FIX_NOW	YES (choice of fix shape)	align page call order with service test convention (A=previous B=current) OR keep order and add explicit direction label (تحسّن/تراجع + signed bps); owner picks presentation	none	dom test asserting: current 4.75 vs previous 0 renders positive-improvement semantics; service tests unchanged	single-line revert (call order) or label string revert	NEW (F2)
FI-003	ux-wording	FI-2(FI2-05); FI-3(F3); FI-4(FI4-017)	VERIFIED	REPRODUCED	QuickActionSheet.tsx:208 header; QuickExpenseForm.tsx required markers + EXPENSE_NOTE_REQUIRED_MESSAGE	owner is told «مبلغ وبند اختياري» then blocked by «البند مطلوب» — trust erosion on the highest-frequency sheet	none (validation itself correct; zero writes on invalid)	FIX_NOW	NO	correct the header string to «المبلغ والبند مطلوبان — التصنيف والتاريخ اختياريان» (or split wording per field state)	none	string-level fixture test (wording pinned)	single string revert	NEW (F3)
FI-004	ux-wording/data-safety	FI-2(FI2-17); FI-3(F14,F14-DS)	VERIFIED	REPRODUCED	UnsavedChangesGuard.tsx:270-271; useFormDraft.ts:79-112; DirectSaleEditor/DraftEditor restore banners	guard promises data loss («لن يُحفظ شيء تلقائيًا… يفقد ما لم تحفظه») while draft-backed editors DO autosave and the draft survives «اخرج دون حفظ» (browser-proven) wording misrepresents actual safety net; owner may fear loss or distrust the guard	none (autosave is protective; contradiction is verbal)	FIX_NOW	NO	scope the guard wording: «لن يُسجَّل حدث مالي تلقائيًا» + where autosave exists add «مسودتك محفوظة محليًا — الحدث المالي لم يُسجَّل» (already present as status line in some editors)	contract 36 family; draft-dismissal mini-spec	dom test: guard text never claims zero autosave on draft-backed forms	string revert	DEEPENS_EXISTING (contract 36; prior audits recorded draft autosave but not the wording contradiction)
FI-005	interaction-safety	FI-2(FI2-22,23,24 static); FI-3(AUD-005-1/2/3 runtime)	VERIFIED	REPRODUCED	RepaymentSheet.tsx / ReceivedLoanRepaymentSheet.tsx / MaterialSheet.tsx (drawer.tsx wrapper); contrast QuickActionSheet.tsx:143-167	typed repayment/material money silently discarded on X/outside/Escape (0/13 paths ask); QuickActionSheet asks «في رقم مكتوب — تسجّله أو تتجاهله؟»	data-loss risk on financial input entry (not record corruption — nothing is written)	FIX_NOW	NO	reuse QuickActionSheet isDirty discard pattern in the three sheets (per prior AUD-005 remediation note)	AUD-005 ops-control claim ownership	dom tests: dismissal with dirty input asks the question in all three sheets	per-sheet TSX revert	DUPLICATE (AUD-005; now runtime-proven with typed money)
FI-006	a11y	FI-4(FI4-001,002)	VERIFIED	REPRODUCED(runtime probe)	components/ui/drawer.tsx (vaul wrapper); QuickActionSheet and all drawer consumers	keyboard user can tab out of an open sheet into background content (0/16 tabs landed inside); X-close leaves focus on <body>; no aria-modal	none	FIX_NOW	NO	add focus trap (FocusScope or vaul modal semantics) + onCloseAutoFocus refocus trigger + aria-modal on drawer root	none	dom test: tab cycles within open sheet; focus returns to trigger on all close paths	single component revert	NEW
FI-007	data-safety	FI-4(FI4-019; reproduced 2×)	VERIFIED	REPRODUCED	Setup.tsx autosave-discard effect; form-drafts store	reloading /setup with a saved setup draft DELETES the draft and the restore banner never shows (autosave-empty discard races async read) non-financial data loss only (setup draft); user must retype name/wallet choices	none (setup draft; no financial record)	FIX_NOW	NO	gate the autosave-empty discard on a readSettled flag (skip discard until draft read resolves)	none	dom test: reload with saved setup draft restores banner instead of deleting draft	single effect revert	NEW
FI-008	a11y-platform	FI-4(FI4-009)	VERIFIED (simulation)	PARTIALLY_REPRODUCED (simulated root-font scaling; real-device NOT_EXECUTED)	bottom-nav .micro-nav-item CSS at 320/390 @200%	bottom-nav labels clip at 200% text scaling (overflow 99px @320; 30px @390); 125% clean	none	FIX_NOW	NO	allow nav labels to wrap/shrink or drop min-width under large text	none	css test: zero horizontal overflow at 320 @200% simulated	CSS rule revert	NEW (VIS-009 deepens to 200%)
FI-009	a11y	FI-4(FI4-004)	VERIFIED	STATIC_ONLY+runtime context	QuickSaleForm late validations (collected>=amount; missing customer)	late errors set formError without fieldError → aria-invalid/aria-describedby not set on the failing non-amount field	none	DEFER	NO	per-field error state or clear fieldError when failing rule is not amount/date	P-4.4-5 contract	dom test: every blocking error sets aria-invalid on its field	per-form revert	NEW
FI-010	component-consistency	FI-4(FI4-020)	VERIFIED	STATIC_ONLY	Button loading prop (3 usages) vs text-only role=status loading elsewhere	loading idiom split across forms	none	DEFER	NO	decide single loading idiom per-form family	D-11 skeleton decision	consistent pattern per family	CSS/TSX per-slice revert	NEW
FI-011	css-hygiene	FI-4(FI4-021)	VERIFIED	STATIC_ONLY	Button variants: ghost 0 usages; outline 1	usage≠availability invites drift	none	DEFER	YES (prune vs adopt)	fold into AUD-013/022 cleanup wave	AUD-013	guard updated to chosen set	token/CSS commit revert	NEW (extends AUD-013 family)
