trace_id	path	user_input	ui_source(file)	application_service	domain_function	storage_write(fields)	computed_output	explanation_label	receipt_result	contract_reference	match_or_mismatch	evidence_class	classification	prior_id_relation
FI2-01	direct sale new (happy path)	itemName optional / qty 1 / revenue 12.75 / collected 12.75 / cost known 5.50 / date today	pages/DirectSaleEditor.tsx (fields L679-903; save L322-451)	direct-sales/directSaleService.ts record L76-126	src/domain/direct-sale/policies.ts createDirectSale L54-88	IndexedDbLocalStore.saveDirectSale L891-897 (DirectSale: revenueMinor 1275, collectedMinor 1275, costMinor 550, profitMinor 725, collectionStatus collected_in_full, idempotencyKey, status active)	profitMinor = revenue − cost only when cost known; outstanding = max(revenue−collected,0)	DirectSaleEditor L626-637 truth card «التحصيل ليس ربحًا» + «إذا لم تعرف التكلفة الآن سيظهر الربح غير متاح»	Done screen L497-590: actual price, collected now, debt/pending line, wallet attribution, «سُجل محليًا… الضغط مرتين لا يضاعف أثرًا»	contract 05 §3.1/§8 (receipt not profit)	MATCH	VERIFIED	PRESERVE	NEW
FI2-02	direct sale missing cost	costKnown = لا أعرف الآن	pages/DirectSaleEditor.tsx L740-752	direct-sales/directSaleService.ts record (costMinor null)	direct-sale/policies.ts L78 profitMinor = null	saveDirectSale costMinor null / profitMinor null	profit «غير متاح» — never zero; period result null with reason «بيع مباشر بتكلفة غير معروفة» (projectFinancialService L762, L812)	«عدم المعرفة يبقى معلومة ناقصة، ولا يسجل تكلفة صفرية» L751	receipt omits profit; Statement shows «غير متاح» + unresolved line	contract 05 §8 missing cost = unknown never zero	MATCH	VERIFIED	PRESERVE	NEW
FI2-03	direct sale agreed > collected (cash_received vs sale amount)	revenue 10 / collected 8 then choose price_cut | remaining_debt | needs_review	pages/DirectSaleEditor.tsx difference panel L896-953	directSaleService.record priceCut L104-109	direct-sale/policies.ts resolveCollection L35-46 + applyPriceCut L155-179	saveDirectSale: collectedMinor, collectionStatus partial_debt|partial_needs_review|collected_in_full (+revision kind price_cut with beforeRevenueMinor)	outstandingMinor L50-52; price_cut sets revenue=collected and preserves original	«النظام لا يقرّر عنك — اختر ما حدث فعلًا» L903	done screen: «دين على … يظهر في لي عند العملاء ودفتر الناس» or «فرق معلّق للمراجعة»	contract 05 §3.1 debt = receivable not cash; X-06	MATCH	VERIFIED	PRESERVE	NEW
FI2-04	direct sale cancel (correction)	reason required	pages/DirectSaleEditor.tsx L970-1018	directSaleService.cancel L171-226 + reverseAllocationsForCancelledSale L228-273	direct-sale/policies.ts cancelDirectSale L181-193 (reason mandatory L95)	saveDirectSale status cancelled + revision kind cancel; commitCashContinuity mirrored reversals (op key sale-cancel:id:entryId)	wallet allocations of the sale mirrored back to unallocated	«سيبقى البيع ظاهرًا… بحالة ملغى، ولن يُحذف بصمت» L989	stays on page with allocationReversalNotice if mirror failed	AGENTS §6 cancellation = documented, no silent delete	MATCH	VERIFIED	PRESERVE	NEW
FI2-05	quick expense (F3)	amount 2.50 / بند required / category optional / wallet source rule	components/layout/QuickActionSheet.tsx L204-210 + components/finance/QuickExpenseForm.tsx L118-212	finance/projectFinancialService.ts record L1296-1400 (type operating_expense_cash)	financial-event/policies.ts DELTA_TABLE L293 operating_expense_cash = [−cash,0,0,+opEx,0,0,0,0,0]	saveFinancialEvent (amountMinor 250, expenseContext relationship project/knowledge known, cashDeltaMinor −250, operatingExpenseDeltaMinor +250)	cash −2.50; operating expense +2.50; no COGS/load on order	sheet description «مبلغ وبند اختياري» CONTRADICTS field marker «البند مطلوب» + EXPENSE_NOTE_REQUIRED_MESSAGE blocks save	receipt mode: «سُجّل مصروف … الكاش المسجل الآن X د.أ» + attributionNote	contract 08 expense classification; EXE-007 unified spec	MISMATCH (sheet header wording vs required note)	VERIFIED	FIX_NOW	NEW
FI2-06	guided financial event editor (F4)	8 independent types; amount + note + wallet source	pages/FinancialEventEditor.tsx save L603-745	projectFinancialService.record L1296-1400	createFinancialEvent L356-412 (DELTA_TABLE L290-327)	saveFinancialEvent only after validation (store call L1385); no write on invalid submit (page guards L612-655; service guards L1312-1368)	deltas per type; amanah release capped by held balance; withdrawal wallet coverage guard	Live preview via same domain fn (EventEffectPreview) — no parallel math	savedNote on partial attribution failure; reused key message L687-693	contract 06 financial event prototype; contract 27 guided entry	MATCH (no premature write; draft-only artifact is declared non-financial)	VERIFIED	PRESERVE	NEW
FI2-07	recorded result vs cash distinction	period result vs wallet cash	pages/Statement.tsx L503-511 cash card + L577-603 result card; Home via application/home/homeControlCenterService.ts L99-111	projectFinancialService.readPosition L387 / readRecordedPeriodResult L576	summarizeFinancialEvents L483-510; craft-order recognizeDeliveryValues L556-568	READ ONLY — no writes	resultMinor vs cashNetMinor vs walletCash vs unallocatedCash separate	«حركة القبض والدفع — ليس ربحًا ولا نتيجة؛ الكاش قد يرتفع من دين تحصّل» L510; truthLines L683-685	n/a (read surface)	contract 05 §3.2.1; contract 01	MATCH	VERIFIED	PRESERVE	VIS-011 (unknown honesty) compatible
FI2-08	statement explanation assembly (F1)	period range (this week default / quick presets)	pages/Statement.tsx + statementMarkdownService	finance/statementService.ts read L134-… (blocks, sources, truthLines, recognizedRevenueTotalMinor L679-680, cashNetMinor L530-533)	projectFinancialService.readRecordedPeriodResult + readPosition (canonical)	READ ONLY	full blocks: cashIn/cashOut with qualifiers+sources, corrections net, owner, amanah, receivables/payables, deepFinance (contract 29/31), categories, truthLines	result card equation line L591-593: revenue − direct cost − allocated expense	Markdown download/share L281-301 «ليست حدثًا ماليًا»	contract 31 + contract 32	MISMATCH on Statement page: equation line omits directSaleCostKnownMinor (and group-4 non-cash items live in separate block); synthetic data shows 12.75 − 0.00 − 2.50 = 10.25 while net displays 4.75	VERIFIED	FIX_NOW	NEW (F1 code-side)
FI2-09	period comparison (F2)	compare toggle + previous-equal or custom side B	pages/Statement.tsx L210-228 call L219, summary L368-382, rows L458-484	finance/periodComparisonService.ts readPeriodComparison L388-424 (canonical reader twice)	lineOf L358-374 delta = B − A; changeBps safe (null on zero base)	READ ONLY	deltaResultMinor = previous − current as wired (A=current, B=previous); worst status; partial/overlap notes	summary strong shows bare number with NO direction label; rows «الحالية a · السابقة b · الفرق delta»	n/a	contract 05 §3.2.1 (period reader); FIN-003	MISMATCH (sign direction inverted vs intuition: improvement displays negative; synthetic 4.75 vs 0 shows −4.75)	VERIFIED	FIX_NOW	NEW (F2 code-side)
FI2-10	receivables ledger (Parties)	customer name aggregation	pages/Parties.tsx	parties/partyLedgerService.ts read L69-216	(derived read over stored orders/sales/purchases/events)	READ ONLY	per-name receivableMinor/payableMinor + movements (order debt, sale debt, payables, settlements)	«موجب = لك عند الطرف؛ سالب = عليك للطرف» L30; repeated badge FIN-002	n/a	owner principle 5.3; D-001 honest customer field	MATCH	VERIFIED	PRESERVE	NEW
