Component_ID,Family,Required_States,Decision_Ref,Studio_Component_Reference,Maturity,Notes
Action/Primary,Core,Default|Pressed|Focused|Loading|Unavailable,10.1|16.4,src/components/core/Button.tsx,Candidate,Produced; no preset ripple; loading keeps geometry with Micro Signal + ongoing label
Action/Secondary,Core,Default|Pressed|Focused|Unavailable,10.1|16.4,src/components/core/Button.tsx,Candidate,Produced with white surface + Interactive Boundary
Action/Destructive,Core,Default|Pressed|Focused|Loading,10.1|15.6,src/components/core/Button.tsx,Candidate,Produced; consequence shown in Dialog actions (logout)
Action/IconOnly,Core,Default|Pressed|Focused|Unavailable,9|10.1|16.4,src/components/core/Button.tsx (IconButton),Candidate,Produced; 44px accessible target + mandatory aria-label
Field/Text,Core,Empty|Filled|Focus|Error|Unavailable,12.3|16.4,src/components/core/Field.tsx,Candidate,Produced; persistent label; specific error below field; clear button ≥44px
Field/Amount,Core,Empty|Filled|Error|Text200|Keyboard,12.4|16.2,src/components/core/Field.tsx (AmountField),Candidate,Produced; English numerals + د.أ opposite side + no formatting during typing; physical keyboard UNVERIFIED
Field/Search,Core,Empty|Query|NoResults|Error,10.3|12.4,src/components/core/Field.tsx (icon variant inside picker Sheets),Candidate,Produced as search field variant inside customer/product Sheets; standalone screen usage deferred
Select/Radio,Core,Default|Selected|Focus|Error,12.4|16.4,NotProduced,Candidate,Not needed for the three samples (segmented covers نقدي/آجل); deferred with its screens
Select/Checkbox,Core,Default|Selected|Focus|Error,12.4|16.4,NotProduced,Candidate,Deferred with its screens
Select/Toggle,Core,On|Off|Focus|Unavailable,12.4|16.4,NotProduced,Candidate,Deferred with its screens (settings)
Filter/CommandButton,Core,Default|Active|Focus,10.3,NotProduced,Candidate,Full filter command deferred; period button + anchored menu produced in FIN-OVERVIEW (Menu/Contextual)
Filter/ContextualPanel,Core,Closed|Expanded|Applied|Reset,10.3|11.13,NotProduced,Candidate,Deferred with list screens
Navigation/Bottom,Core,Selected|Unselected|Badge|Text200,11.2|16.5,src/navigation/BottomNav.tsx,Candidate,Produced; five equal V1 tabs; Old candidate: Fill+Indigo+SemiBold+Micro mark; badge 3; Text200 checked against old palette; revise under color decision 17
Navigation/Header,Core,Default|Scrolled|SafeArea,11.7|11.8,src/navigation/AppHeader.tsx,Candidate,Produced; no page name; canvas→white on scroll 180ms + divider; SafeArea simulated (real device UNVERIFIED)
Overlay/AccountPanel,Core,Closed|Open|IncompleteAccount,11.9|16.4,src/navigation/AppHeader.tsx (AccountPanel),Candidate,Produced; header-connected full-width panel; incomplete project identity + logout dialog
Overlay/Sheet,Core,Closed|Open|Keyboard|Text200,10.6|11.13|16.5,src/components/core/Overlays.tsx (Sheet),Candidate,Produced; radius 24 top; title right/close left; footer decision; no sheet-over-sheet; physical keyboard UNVERIFIED
Overlay/Dialog,Core,Closed|Open|Focus|Sensitive,10.6|15.6,src/components/core/Overlays.tsx (Dialog),Candidate,Produced; explicit actions (تسجيل الخروج/البقاء); destructive separated
Menu/Contextual,Core,Closed|Open|Focus,10.6|16.4,src/components/core/Overlays.tsx (AnchoredMenu),Candidate,Produced for period selection; opens from source 200ms; check beside selected
Content/OpenRow,Core,Default|Pressed|Focus|Unavailable,10.2|14.2,src/components/core/OpenRow.tsx,Candidate,Produced + RowGroup; icon right/value left; internal divider; full-row single target
Financial/MoneyValue,Financial,Known|TrueZero|Negative|Unknown|Estimated,13.3|13.20|16.2,src/components/financial/MoneyValue.tsx,Candidate,Produced; the only component rendering amounts; absence never becomes 0.00; LTR-isolated numerals + د.أ in Arabic flow; spoken label includes دينار أردني
Financial/TruthLayer,Financial,Complete|Partial|Insufficient,13.2|13.11,src/components/financial/TruthNote.tsx,Candidate,Produced as reveal-from-source panel: what/period/data state/what-it-is-not/fixture source
Financial/SnapshotDeck,Financial,Default|Swipe|Unknown|Text200,13.4|16.1,src/components/financial/SnapshotDeck.tsx,Candidate,Produced; one strong card + 1 من 4 indicator + عرض الكل; urgent states never hidden behind swipe; finger swipe UNVERIFIED
Financial/TransactionRow,Financial,Default|LocalSaved|PendingSync|Error,13.5|13.20,src/components/financial/TransactionRow.tsx,Candidate,Produced; open row; identity by name+icon+signal not red/green; partial shows original/paid/remaining
Financial/DebtCollection,Financial,Known|Partial|Full|Unknown,13.6|13.8,src/screens/FinOverview.tsx (obligations rows via OpenRow+MoneyValue),Candidate,Row-level pattern produced inside FIN-OVERVIEW (forYou/onYou separated; unknown as —); dedicated collection flow deferred
Financial/WalletAllocation,Financial,Complete|Remaining|Overallocated,13.7,src/screens/FinOverview.tsx (unallocated ContextSeam),Candidate,Unallocated seam (بانتظار تحديد المحفظة + action) produced inside cash block; allocation interface deferred
Financial/ImpactPreview,Financial,Default|Sensitive|Error,13.8|15.6,src/components/financial/ImpactPreview.tsx,Candidate,Produced; before/after with labeled rows; uncomputed shows — + partial signal + reason; values fixture-tagged (GAP-004)
Financial/ChartLine,Financial,Loaded|Partial|MissingData|DataView,13.13|16.4,NotProduced,Candidate,Conditional on verified trend question and data; intentionally not produced this round (FIN-CHARTS respected)
Financial/ChartBar,Financial,Loaded|Partial|Zero|DataView,13.13|16.4,NotProduced,Candidate,Conditional; intentionally not produced
Financial/HalfRing,Financial,Parts2|Parts3|Parts4|Selected|DataView,13.14|16.4,NotProduced,Candidate,Conditional; intentionally not produced
Context/Insight,Contextual,Actionable|Informational|Partial,13.19|14.1,src/components/contextual/Contextual.tsx (Insight),Candidate,Produced; Evidence→Action (summary/evidence/completeness/one action); levels incl. missing-data
Context/FirstMove,Contextual,FirstUse|Actioned,14.3,src/components/contextual/Contextual.tsx (EmptyState first-move),Candidate,Produced in OVR-NOW first-use; one primary action near first-content position
Context/FilteredEmpty,Contextual,NoResults|Reset,14.3,src/components/contextual/Contextual.tsx (EmptyState search-reset),Candidate,Variant produced (filters stay visible + مسح الفلاتر); live usage deferred with list screens
Context/Loading,Contextual,Local|Waiting|ReducedMotion,14.4|16.6,src/components/core/Skeleton.tsx + contextual/MicroSignal (in-progress),Candidate,Produced (StructuralLoad shapes + single animated unit + static in reduced motion)
Context/ErrorRecovery,Contextual,Inline|Local|Blocking|Retry,14.6|16.4,src/components/contextual/Contextual.tsx (RecoveryStage) + sale-failure,Candidate,Produced; replaces only affected region; inputs preserved; retry near action
Context/OfflineSync,Contextual,Offline|LocalSaved|PendingSync|Failed,14.7|13.20,src/components/contextual/Contextual.tsx (SystemRibbon) + TransactionRow save states,Candidate,Produced; connection separated from save/send; no auto-send promises
Context/Unavailable,Contextual,ReadOnly|Prerequisite|Blocked,14.8,NotProduced,Candidate,Deferred with its screens (tools/market)
MicroSignal,Contextual,complete|partial|in-progress|unknown|draft|error|local-saved,10.4,src/components/contextual/MicroSignal.tsx,Candidate,Provisional identity asset (GAP-002); all seven §10.4 states implemented in CSS; candidate until final logo review
