id	area	finding	evidence	evidence_class	prev_scan_or_audit_ref	relation	classification	owner_decision_required	minimum_safe_next_step	rollback_boundary
FI1-01	routes	Router census at c02fb458: 66 <Route> elements = 65 path-bearing + 1 pathless catch-all (NotFound); 2 path routes are redirects w/o own page (/review->/finance; /finance/new/owner_withdrawal_cash->/finance/withdraw); 63 routes render pages; 60 page components all referenced, 4 pages serve 2 routes each (DirectSaleEditor, MaterialEditor, SupplierPurchaseEditor, RecurringExpenseEditor); zero orphan pages, zero route patterns without pages	MicroRouter.tsx:115-239 (rg '<Route' = 67 incl. <RouteLoadingState:112); comm diff pages vs router imports (evidence/FI-1/route-and-structure-census.txt)	VERIFIED	STRUCTURE-SCAN row 22 (navigation truth 4 sources); MIGRATION_STATUS route-count terminology (52/55/35)	DUPLICATE (prior counts 66 confirmed; MIGRATION_STATUS '55 path-bearing' is historical 2026-09-15, now 65)	PRESERVE	none (record only)	none	n/a
FI1-02	routes	renderSmoke route lag unchanged: R2.renderSmoke.test.tsx carries 56 route literals vs 65 path-bearing routes; 9 missing = finance/recurring x4, finance/more, finance/upcoming, loans/received x2, legacy redirect	R2.renderSmoke.test.tsx ROUTES list vs MicroRouter paths (comm diff)	VERIFIED	AUD-002; STRUCTURE-SCAN row 29	DUPLICATE (exact re-confirmation)	FIX_NOW	no (test-only, no product change)	add the 9 literals to the existing ROUTES list; smoke stays 2-theme	revert single test commit
FI1-03	routes	NEW: diagnostics route-template inventory lags router by 10 routes; ROUTE_TEMPLATES frozen at 2026-09-11 (f6565a9) and never updated for /market (2026-09-16), finance/more+upcoming (09-20), recurring x4 (09-21), loans/received x2 (09-23), legacy redirect; routeTemplateFor() returns /unknown on those routes for ErrorBoundary + pwa/register.ts diagnostics; NO test syncs ROUTE_TEMPLATES to the router although SOURCE_OF_TRUTH.md:38 claims 'Route inventory sync ... ROUTE_TEMPLATES <-> app/MicroRouter.tsx'	application/diagnostics/routeTemplate.ts:13-69 (55 entries); comm diff vs router = 10 missing; git log routeTemplate.ts (only f6565a9); rg: no test references ROUTE_TEMPLATES; SOURCE_OF_TRUTH.md line 38	VERIFIED	AUD-002 family; SOURCE_OF_TRUTH.md sync-claim	DEEPENS_EXISTING (same lag family as AUD-002, second affected inventory + inaccurate sync claim)	FIX_NOW	yes (borderline: list+test-only, no behavior change beyond diagnostics fidelity; batch with FI1-02 in one owner-approved sync commit)	extend routeKnowledgeSync.test.ts with a ROUTE_TEMPLATES<->router assertion first (red), then add the 10 templates; update SOURCE_OF_TRUTH.md:38 wording to name the enforcing test	revert single commit (list+test+doc line)
FI1-04	module-responsibilities	client/src layer map (one-line each): app/=routing+navigation contracts+composition root+startup/capability gates (18 files); application/=31 feature dirs of use-case services over domain+storage, no UI (187); components/=primitives+AUX shell+feature patterns+legacy ui/ (83); contexts/=ThemeContext only (1); lib/=3 generic utils; pages/=60 screen orchestrators (73 files incl. 13 tests); presentation/=10 pure display-format leaf modules, no JSX (17 incl. tests); pwa/=SW registration/install/dirty-registry (9); storage/=LocalStore port+IndexedDB/Memory adapters+guards (42); styles/=token bridge+dark+primitives+splash (5). src/domain = 18 modules (17 feature + shared), 55 prod files 9610L, exactly as prior scan	ls + git ls-files census (evidence file); presentation/*.ts all non-JSX verified	VERIFIED	STRUCTURE-SCAN row 2 (55 files/9610L)	DUPLICATE (confirmed)	PRESERVE	none	none	n/a
FI1-05	module-responsibilities	Dual-job placement root cause: presentation/catalogPresentation.ts:9 VALUE-imports @/application/input/englishNumeric (and :12 type-imports recurringWorkService) while 12 application files value-import @/presentation — englishNumeric is a pure leaf parser housed in application/, forcing presentation->application edge; module-level application<->presentation bidirectional entanglement, file-level acyclic	presentation/catalogPresentation.ts:9,12; presentation/activityLabels.ts:5 (type-only); 12 application files listed in evidence file (statementService.ts:126 among them)	VERIFIED	STRUCTURE-SCAN row 13; AUD-012	DEEPENS_EXISTING (root-cause precision: 12 files / 14 import statements reconciles the prior '12-14' and '14 files' imprecision)	FIX_NOW (rule+doc only; code PRESERVE)	yes (owner decides target direction per prior row)	eslint no-restricted-imports pattern declaring the chosen direction + one paragraph in UI_AUX_ARCHITECTURE.md section 2 boundary precision; no file moves	revert eslint.config.js + doc commit
FI1-06	module-responsibilities	domain purity intact: zero domain->client imports (no ../apps, no @/components|@/pages|@/application anywhere in src/domain); runtime-cycle guard claim independently reproduced: 0 value-import cycles across 258 production files in client/src (own static resolver); 2 type-only cycles, both already documented (types.ts<->supplierScheduleCommitGuard; Finance.tsx<->FinancePeriodResultSection)	rg over src/domain (0 hits); python import-graph walk (evidence file); types.ts:39, supplierScheduleCommitGuard.ts:7; FinancePeriodResultSection.tsx:12	VERIFIED	STRUCTURE-SCAN rows 11, 16, 17	DUPLICATE (independent re-verification; guard claim now audit-executed, not just CI-claimed)	PRESERVE	none	none	n/a
FI1-07	oversized-files	Top file sizes at c02fb458: index.css 6837L; IndexedDbLocalStore.ts 4134L; MemoryLocalStore.ts 2095L; OrderDetail.tsx 1888L; transferFamilyValidators.ts 1715L; Finance.tsx 1639L; integrityCheckService.ts 1469L; craft-order/policies.ts 1436L; inventoryMaterialService.ts 1432L; projectFinancialService.ts 1401L; FinancialEventEditor.tsx 1285L; SupplierPurchaseEditor.tsx 1184L; OwnerEntitlement.tsx 1157L; transferSnapshotValidation.ts 1155L; ownerEntitlementService.ts 1109L — all match prior scan rows 6-10 (unchanged since same commit)	git ls-files + wc -l (evidence file)	VERIFIED	STRUCTURE-SCAN rows 6-10	DUPLICATE	PRESERVE (per AGENTS.md section 11: no splits without owner-approved wave)	yes for any split (plan exhausted; fresh owner decision needed)	none now	n/a (no change)
FI1-08	oversized-files	index.css metrics verified: 6837 lines (AUD-016 said 6838 — off by one); 1180 style rule blocks of which 1160 contain .micro-*; 1311 individual selectors (1279 micro); 1412 .micro-* tokens; 465 unique .micro-* class names. Prior '1205 .micro-* selectors' is NOT reproducible by any counting method tried (block/selector/token counts = 1160/1279/1412) — imprecise prior metric, order of magnitude holds	wc -l/awk NR; python css block accounting (evidence file)	VERIFIED (counts) / INFERRED (prior-metric method mismatch)	STRUCTURE-SCAN row 6; AUD-016	DEEPENS_EXISTING (metric corrected)	PRESERVE (size itself DEFER per prior WS-183-pattern waves)	yes (per-wave owner gate unchanged)	none now; future waves keep per-wave visual evidence	revert single wave commit
FI1-09	duplication	.micro-field-error dual live definitions CONFIRMED unchanged: index.css:1052 (inline red text, !important color+font-size) + index.css:4219 (boxed bg + 3px start border + padding + radius); cascade merges both for 62 consumer files (90 prod occurrences) — every error label currently renders red text INSIDE a boxed danger background	index.css:1052-1056, 4219-4226; rg consumers (62 files)	VERIFIED	AUD-016; STRUCTURE-SCAN row 19	DUPLICATE (exact)	FIX_NOW (CSS-only, Wave C per prior scan)	yes (owner-gated visual change: computed-style audit + 2-theme captures of affected forms first)	computed-style audit of the 62 consumers, then consolidate to one definition with final values preserved	revert single CSS commit
FI1-10	duplication	Dual field systems unchanged: Field primitive 0 production consumers (all 'Field' imports are LocalDateField, a different component) vs 495 inline .micro-field* prod occurrences across 75 files (370 bare + 90 error + 17 grid + 15 hint + 3 wide; +5 error in tests = 95 incl. tests, explaining prior row's 95)	components/primitives/Field.tsx (0 <Field> consumers); rg census (evidence file)	VERIFIED	AUD-015; STRUCTURE-SCAN row 18	DUPLICATE (counts reconciled: prod 495 vs prior 500 incl. tests)	DEFER (D-08 owner record)	yes (owner visual decision, registered)	none now; keep census as impact map; no new Field consumers	revert n/a (no change)
