route_pattern	registered_in	static_inspection	render_smoke_covered	dom_test_neighbor	browser_coverage	browser_state_seen	browser_viewports	logic_traced_to_domain_storage	notes
/setup	client/src/app/MicroRouter.tsx:116	YES (FI-1/FI-2 source read)	YES	pages/Setup.ui.test.tsx	BROWSER_OPENED	steps 1-3 (name, wallet, opening position); skip path and un	390	YES	first-run setup wizard; VIS-016 confirmed honest skip path zero writes
/foundation	client/src/app/MicroRouter.tsx:118	YES (FI-1/FI-2 source read)	YES	pages/Foundation.ui.test.tsx	NOT_OPENED_IN_BROWSER			YES	AUD-007: no back button, ignores returnTo (owner-facing page, decision 7)
/orders/new	client/src/app/MicroRouter.tsx:119	YES (FI-1/FI-2 source read)	YES	U06.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	NewDraft; literal /orders/draft/new route deleted (comment at router:120-123)
/direct-sales/new	client/src/app/MicroRouter.tsx:124	YES (FI-1/FI-2 source read)	YES	pages/DirectSaleEditor.ui.test.tsx	BROWSER_OPENED	direct-sale writer: restore banner when a form draft exists;	390	YES	G-004 capability gate (orders)
/direct-sales/:id	client/src/app/MicroRouter.tsx:125	YES (FI-1/FI-2 source read)	YES	G3.dom.test.tsx	BROWSER_OPENED	steps 1-3 (name, wallet, opening position); skip path and un	390	YES	DirectSaleEditor edit mode
/orders/draft/:id/agreement	client/src/app/MicroRouter.tsx:126	YES (FI-1/FI-2 source read)	YES	NONE	BROWSER_OPENED	draft editor: F15 single-input materialization; F14 close-gu	390	YES	AgreementEditor has NO direct test import (11 untested pages list); smoke-only render
/orders/draft/:id/cost	client/src/app/MicroRouter.tsx:127	YES (FI-1/FI-2 source read)	YES	U01.dom.test.tsx	BROWSER_OPENED	draft editor: F15 single-input materialization; F14 close-gu	390	YES	CostEditor
/orders/draft/:id	client/src/app/MicroRouter.tsx:130	YES (FI-1/FI-2 source read)	YES	U004.dom.test.tsx	BROWSER_OPENED	empty («لا توجد سجلات عمل بعد», «يومك مفتوح — سجّل أول بيع» 	320, 360, 390, 412, 430 (populated, ligh	YES	DraftEditor behind CapabilityCreateGate (isCreate when id=new)
/orders/:id/deliver	client/src/app/MicroRouter.tsx:138	YES (FI-1/FI-2 source read)	YES	G3Delivery.dom.test.tsx	BROWSER_OPENED	draft editor: F15 single-input materialization; F14 close-gu	390	YES	DeliveryReview (contract D5)
/orders/:id	client/src/app/MicroRouter.tsx:139	YES (FI-1/FI-2 source read)	YES	OrderDetail.ui.test.tsx	BROWSER_OPENED	empty («لا توجد سجلات عمل بعد», «يومك مفتوح — سجّل أول بيع» 	320, 360, 390, 412, 430 (populated, ligh	YES	+10 more files incl R1.orderDetailVoid, G4RetainedDeposit, OrderShare.exe015
/schedule/:id	client/src/app/MicroRouter.tsx:140	YES (FI-1/FI-2 source read)	YES	G3Hardening.dom.test.tsx	BROWSER_OPENED	steps 1-3 (name, wallet, opening position); skip path and un	390	YES	ScheduleEditor
/schedule	client/src/app/MicroRouter.tsx:141	YES (FI-1/FI-2 source read)	YES	G004CapabilityGuard.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	Schedule surface
/finance/new/owner_withdrawal_cash	client/src/app/MicroRouter.tsx:146	YES (FI-1/FI-2 source read)	NO	pages/OwnerJourneysExe009.dom.test.tsx	NOT_OPENED_IN_BROWSER			PARTIAL (see FINANCIAL-TRACE-MATRIX)	UNSMOKED #1/9: EXE-009 redirect to /finance/withdraw preserving ?from; redirect behavior IS component-tested
/finance/new/:type	client/src/app/MicroRouter.tsx:149	YES (FI-1/FI-2 source read)	YES	pages/FinancialEventEditor.guided.test.tsx	BROWSER_OPENED	full period-result component rows (F1): 31 rows incl. تكلفة 	390	YES	+ FinancialEventEditor.ui.test.tsx, DeepScreens.w43
/finance/withdraw	client/src/app/MicroRouter.tsx:150	YES (FI-1/FI-2 source read)	YES	pages/OwnerWithdrawalEditor.ui.test.ts	NOT_OPENED_IN_BROWSER			YES	unified owner withdrawal entry (X-05)
/finance/owner-entitlement	client/src/app/MicroRouter.tsx:151	YES (FI-1/FI-2 source read)	YES	G6.dom.test.tsx	NOT_OPENED_IN_BROWSER			YES	+ pages/OwnerEntitlement.ui.test.ts
