route_path	page_component	source_file	owner_area	primary_user_task	content_types	key_interactive_components	states_present_in_code	states_missing	shared_consumers	v2_adaptation_status	evidence_class	recommendation
/	Home	pages/Home.tsx	first-run/مركز	Answer what needs me now + record fast	daily status; priority block; today rows; away digest; quick actions; period numbers; fact rows; insights; finance unit; optional modules; recent changes; locality line	logo-menu; quick-action tiles (سجّل بيعًا/سجّل مصروفًا/طلب من عميل); المزيد expander; text-actions (افتح X/سجّله); single primary CTA (priority)	loading (first boot only: جارٍ تجهيز مشروعك…); full error + retry; inline refreshError + in-place retry; dailyStatus attention/empty/incomplete/normal; away card at >=7d; not_initialized roads (سجّله)	offline axis (D-02 DEFERRED); skeletons (D-11 DEFERRED); no SnapshotDeck/«عرض الكل» (DEFERRED owner record)	Button; Row; RowList; MoneyValue; QuickActionSheet via useQuickRecording	shared-grammar-only (quick tiles/rows inherit tokens; no deck)	VERIFIED	PRESERVE core; DEFER SnapshotDeck/«عرض الكل» behind owner gate; fix header-context/overline duplication (see HOME-DEEP-AUDIT)
/setup	Setup	pages/Setup.tsx	first-run	Name project + default wallet + drawer state (3-step wizard)	3 step forms: ما اسم مشروعك؟ / وين تحط فلوسك؟ / شو وضع الدرج هلق؟	text inputs; choice rows; step nav; draft restore (hasRealSetupInput)	loading; error; step state; draft offer	none material (local-first wizard)	Button; form-draft system	shared-grammar-only (captures 01-03 boundary select/inputs)	VERIFIED	PRESERVE
/foundation	Foundation	pages/Foundation.tsx	first-run/المالية	Complete optional opening position (شو عندك هلق؟)	question cards; truth line; guidance copy	choice buttons; inputs; links into cash/owner flows	loading; error (تعذر قراءة الموقف); first-use empty	return-context back button ABSENT (only non-seat surface without one; returnTo ignored) — EXE-016 promise gap	MoneyValue; guided entry links	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	FIX_NOW (P2): honor returnTo with a back button like sibling surfaces, or document the exception
/orders/new	NewDraft (redirect)	pages/NewDraft.tsx	العمل	Legacy link redirects to draft editor with intent	intent mapping customer_order|planned_design	redirect to /orders/draft/new?intent=… (preserves returnTo/from)	n/a (redirect)	none	n/a	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE (compat shim)
/orders/draft/:id	DraftEditor	pages/DraftEditor.tsx	العمل	Compose customer order / planned design draft	item spec; price; deposit; delivery; notes	fields; choice rows; save; UnsavedChangesGuard; CapabilityCreateGate (id=new)	loading; error; empty-new; cost-incomplete markers	single-task editor by design (no browsing states)	Button; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/orders/draft/:id/agreement	AgreementEditor	pages/AgreementEditor.tsx	العمل	Record what was agreed (سجّل ما اتفقت عليه)	agreement fields; follow-up date; deposit fields	fields; choice rows; save; guard	loading; error (incl. التكلفة المطلوبة غير متاحة path)	—	Button; MoneyValue; Field; DisplayValue; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/orders/draft/:id/cost	CostEditor	pages/CostEditor.tsx	العمل	Record cost components + material consumption	cost lines; material sheet; totals	fields; MaterialSheet drawer; add/remove lines	loading; error; incomplete-cost markers	—	Button; MoneyValue; Notice; Field; MaterialSheet; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
/orders/:id	OrderDetail	pages/OrderDetail.tsx	العمل	Review one order end-to-end + act (deliver/collect/correct/share)	order header; status; agreement; cost; deposits; events; corrections; share	rows; status chips; action buttons; corrections disclosure; share preview link	loading; error; not-found (الطلب غير متاح محليًا); partial cost knowledge honesty	—	Button; MoneyValue (26 raw formatMoneyMinor hotspots per Phase-1 census); DisplayValue	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE; DEFER copy-density reduction (cap 183) to owner ratchet
/orders/:id/deliver	DeliveryReview	pages/DeliveryReview.tsx	العمل	Conscious delivery review before commit (مراجعة التسليم)	read-only review; prior consumption; confirm/hold	review rows; confirm; guard	loading; error; read-only safe state	—	Button; MoneyValue; Row; DisplayValue; UnsavedChangesGuard	shared-grammar-only (WS-182+WS-183 CSS/tokens; zero TSX recomposition)	VERIFIED	PRESERVE
/direct-sales/new	DirectSaleEditor	pages/DirectSaleEditor.tsx	العمل/المالية	Register a direct sale (تسجيل بيع مباشر)	sale form; wallet destination; debt option	fields; wallet select; save; guard	loading; error; empty-new	—	Button; Field; UnsavedChangesGuard	shared-grammar-only (field boundary #78868D + focus halo #DFEDF1 apply)	VERIFIED	PRESERVE
