token	definition_value	section	aliases	direct_consumer_count	alias_mediated_refs	via_parent_chains	total_reach	example_files	routes	dark_binding	tests_guards	semantic_risk	notes
--vf-canvas	#f0f3f4	Approved surfaces (V2 cool ladder; Micro keeps its 6-step grammar)	--color-bg-canvas[L]; --color-bg-canvas[D]	1	9	0	10	index.css:1	all routes (global CSS grammar: index.css)	rebound: #211d18	styles/vf-tokens.test.ts, theme-contrast-guard.py	low	
--vf-ground	#edf1f2	Approved surfaces (V2 cool ladder; Micro keeps its 6-step grammar)	-	2	0	2	4	primitives.css:2	all routes (global CSS grammar: primitives.css)	rebound: #2a2520	theme-contrast-guard.py	none	
--vf-recessed	#e4eaec	Approved surfaces (V2 cool ladder; Micro keeps its 6-step grammar)	--color-bg-well[L]; --color-bg-well[D]; --color-brand-soft[D]	3	40	0	43	primitives.css:2, index.css:1	all routes (global CSS grammar: primitives.css/index.css)	rebound: #1b1814	theme-contrast-guard.py	low	
--vf-surface	#ffffff	Approved surfaces (V2 cool ladder; Micro keeps its 6-step grammar)	--color-surface[L]; --color-surface[D]	3	62	2	67	primitives.css:2, index.css:1	all routes (global CSS grammar: primitives.css/index.css)	rebound: #2b2620	theme-contrast-guard.py	low	
--vf-tint	#dce3e5	Approved surfaces (V2 cool ladder; Micro keeps its 6-step grammar)	--color-border[L]; --color-border[D]; --color-accent-soft[D]	3	127	3	133	primitives.css:2, index.css:1	all routes (global CSS grammar: primitives.css/index.css)	rebound: #353028	theme-contrast-guard.py	high: Triple duty in LIGHT: hairline border (--color-border x127), accent-soft support field (--color-accent-soft x23), secondary button bg + spinner track. Border-vs-support-surface conflation risk; dark rebinds to #353028.	
--vf-soft	#cfd8db	Approved surfaces (V2 cool ladder; Micro keeps its 6-step grammar)	--color-divider[D]	0	0	1	1	none direct (via chains: --vf-btn-secondary-bg-pressed)	all routes (via bridge chains: --vf-btn-secondary-bg-pressed)	rebound: #463f34	-	none	Light: consumed via --vf-btn-secondary-bg-pressed chain; dark alias --color-divider maps to it.
--vf-border	#dce3e5	Approved surfaces (V2 cool ladder; Micro keeps its 6-step grammar)	--color-divider[L]	1	16	0	17	index.css:1	all routes (global CSS grammar: index.css)	rebound: #3f382f	V2Surface.w183.surfaceAudit.test.ts, theme-contrast-guard.py	low	
--vf-border-interactive	#78868d	Approved surfaces (V2 cool ladder; Micro keeps its 6-step grammar)	-	2	0	1	3	index.css:1, primitives.css:1	all form routes (both field systems)	rebound: #8f897c	V2Surface.w183.surfaceAudit.test.ts, theme-contrast-guard.py	low: WS-183 field boundary #78868D in BOTH field systems; V2Surface-guarded + 2 contrast pairs; dark #8f897c.	
--vf-border-soft	var(--vf-tint)	Approved surfaces (V2 cool ladder; Micro keeps its 6-step grammar)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-ink	#1d2930	Approved ink (V2 blue-black family)	--color-text-primary[L]; --color-text-strong[L]; --color-brand-text[L]; --color-accent-text[L]; --color-ink-on-color[L]; --color-text-primary[D]; --color-text-strong[D]; --color-brand-text[D]; --color-accent-text[D]	12	178	3	193	primitives.css:7, index.css:5	all routes (global CSS grammar: primitives.css/index.css)	rebound: #f2eee6 | --color-ink-on-color dark-literal #141413	styles/vf-tokens.test.ts, theme-contrast-guard.py	high: Reach ~199 via --color-text-primary x91 + --color-text-strong + --color-brand-text + --color-accent-text x66 + --foreground/--card-foreground. Whole-app text repaint on change.	
--vf-ink-secondary	#53616a	Approved ink (V2 blue-black family)	--color-text-secondary[L]; --color-text-secondary[D]	14	197	0	211	primitives.css:13, index.css:1	all routes (global CSS grammar: primitives.css/index.css)	rebound: #c8c1b2	styles/vf-tokens.test.ts, theme-contrast-guard.py	high: Highest fan-out: reach 212 (direct 15 + --color-text-secondary x197). Global value change repaints most secondary text; also default marker/dot color in primitives.	
--vf-ink-tertiary	#5e6b74	Approved ink (V2 blue-black family)	-	0	0	1	1	none direct (via chains: --vf-btn-ghost-ink)	all routes (via bridge chains: --vf-btn-ghost-ink)	rebound: #a59e8f	theme-contrast-guard.py	none	
--vf-ink-on-dark	#ffffff	Approved ink (V2 blue-black family)	-	0	0	1	1	none direct (via chains: --vf-action-create-icon-ink,--vf-action-commit-ink,--vf-btn-primary-ink)	all routes (via bridge chains: --vf-action-create-icon-ink,--vf-action-commit-ink,--vf-btn-primary-ink)	rebound: #141413	-	none	
--vf-ink-on-tint	#1d2930	Approved ink (V2 blue-black family)	-	0	0	3	3	none direct (via chains: --vf-btn-secondary-ink)	all routes (via bridge chains: --vf-btn-secondary-ink)	rebound: #f2eee6	-	none	
--vf-ink-pressed	#313d45	Approved ink (V2 blue-black family)	-	0	0	1	1	none direct (via chains: --vf-action-commit-pressed,--vf-btn-primary-bg-pressed)	all routes (via bridge chains: --vf-action-commit-pressed,--vf-btn-primary-bg-pressed)	rebound: #d8d3c6	-	none	
--vf-disabled-surface	#e4eaec	Approved ink (V2 blue-black family)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	rebound: #2b2620	-	none: DEAD token (self-documented cleanup D-06). Disabled actually rendered via opacity 0.5 rules.	
--vf-disabled-ink	#8a959c	Approved ink (V2 blue-black family)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	rebound: #8f897c	-	none: DEAD token (D-06); value #8A959C kept in approved set only as value freeze.	
--vf-focus	#305968	Approved ink (V2 blue-black family)	--ring[L]; --ring[D]	4	1	0	5	index.css:3, primitives.css:1	all interactive elements (global focus rule) + fields	rebound: #f2eee6	styles/vf-tokens.test.ts, V2Surface.w183.surfaceAudit.test.ts, R2.keyboardFocus.test.tsx, theme-contrast-guard.py	med: Light = Information role #305968 (== --vf-info, deliberate OD-01 unification); dark = #f2eee6 paper. Focus-vs-error distinction relies on info != error in both themes (guarded).	
--vf-field-border-focus	#305968	Approved ink (V2 blue-black family)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	rebound: #8f897c	-	none: DEAD token (aligned to --vf-focus); fields use --vf-focus directly.	
--vf-clay	#d97757	Identity (unchanged)	--color-brand-primary[L]; --color-brand-primary[D]	1	9	0	10	index.css:1	all routes (global CSS grammar: index.css)	rebound: #d97757	styles/vf-tokens.test.ts, U09.css.test.ts, components/primitives/primitives.test.tsx, theme-contrast-guard.py	med: Identity anchor #D97757, byte-frozen both themes (vf-tokens.test + dark identity assertions). Never a financial value (contract). Any change = brand-wide repaint.	
--vf-clay-interactive	#c96442	Identity (unchanged)	--color-brand-pressed[L]; --color-accent-primary[L]; --color-brand-pressed[D]; --color-accent-primary[D]	6	42	1	49	index.css:4, primitives.css:2	all routes (global CSS grammar: index.css/primitives.css)	rebound: #c96442	styles/vf-tokens.test.ts, U09.css.test.ts, components/primitives/primitives.test.tsx, theme-contrast-guard.py	med: Chosen/pressed/current edge: --color-accent-primary x42 + choice-selected inset + save pressed edge. Must stay distinct from action-pressed #8F3B27 (selected != pressed).	
--vf-brand-soft	#fbe9e2	Identity (unchanged)	--color-brand-soft[L]; --color-accent-soft[L]	2	30	0	32	index.css:2	all routes (global CSS grammar: index.css)	not-rebound (light value cascades)	-	med: LIGHT peach #FBE9E2 feeds BOTH --color-brand-soft and --color-accent-soft (two names, one value) across ~30 rules: brand frames, soon-badges, incomplete-result cards, reverse-correction events, draft banners. Identity vs state meanings share one surface color. DARK deliberately diverges to neutral (recessed/tint) so the identity meaning is light-only.	
--vf-info	#305968	Semantic roles (V2 pairs; meaning stays in words + markers)	-	3	0	0	3	primitives.css:3	all routes (global CSS grammar: primitives.css)	rebound: #6aa6ec	V2Surface.w183.surfaceAudit.test.ts, theme-contrast-guard.py	med: Light info #305968; dark info #6aa6ec. Light merges status into info; dark keeps status #55a4ff distinct -> 'reviewed vs pending' visually distinct ONLY in dark. Cross-theme semantic asymmetry.	
--vf-info-surface	#dfedf1	Semantic roles (V2 pairs; meaning stays in words + markers)	-	1	0	0	1	index.css:1	field focus halo (all form routes; .micro-field 370 uses/65 files)	rebound: color-mix(     in srgb,     var(--vf-focus) 18%,     transparent   )	V2Surface.w183.surfaceAudit.test.ts	low: #DFEDF1 focus halo (WS-183); dark preservation rebind color-mix(--vf-focus 18%). GAP: no contrast pair covers info-surface.	
--vf-status	#305968	Semantic roles (V2 pairs; meaning stays in words + markers)	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: #55a4ff	theme-contrast-guard.py	med: Light = #305968 (merged into info per V2; eye-marker+word carries distinction); dark = #55a4ff distinct hue. Same token, different information weight per theme.	
--vf-success	#16765a	Semantic roles (V2 pairs; meaning stays in words + markers)	--color-success-text[L]	3	13	0	16	primitives.css:2, index.css:1	all routes (global CSS grammar: primitives.css/index.css)	rebound: #7cb8a1 | --color-success-text dark-literal #7cb8a1	styles/vf-tokens.test.ts, components/primitives/primitives.test.tsx, theme-contrast-guard.py	low: V2 text-safe #16765A on #DFF3E9; dark pair literal #7cb8a1/#242e27 independent of bridge.	
--vf-success-surface	#dff3e9	Semantic roles (V2 pairs; meaning stays in words + markers)	--color-success-bg[L]	1	3	0	4	index.css:1	all routes (global CSS grammar: index.css)	not-rebound (light value cascades) | --color-success-bg dark-literal #242e27	-	none	
--vf-error	#b0324f	Semantic roles (V2 pairs; meaning stays in words + markers)	--color-danger-text[L]; --color-danger-text[D]	7	13	2	22	primitives.css:6, index.css:1	all routes (global CSS grammar: primitives.css/index.css)	rebound: #e0796f	styles/vf-tokens.test.ts, theme-contrast-guard.py	med: Danger text + destructive buttons; dark rebind #e0796f. Guarded by 4 contrast pairs.	
--vf-danger-surface	#ffe7eb	Semantic roles (V2 pairs; meaning stays in words + markers)	--color-danger-bg[L]	1	4	0	5	index.css:1	all routes (global CSS grammar: index.css)	not-rebound (light value cascades) | --color-danger-bg dark-literal #34211d	-	none	
--vf-attention	#95590c	Semantic roles (V2 pairs; meaning stays in words + markers)	--color-warning-text[L]	1	64	0	65	index.css:1	all routes (global CSS grammar: index.css)	rebound: #d9b978 | --color-warning-text dark-literal #d9b978	styles/vf-tokens.test.ts, theme-contrast-guard.py	high: Due-today semantics: --color-warning-text x64 refs. V2 rule 'actionable attention, not urgency' depends on words+markers staying paired; single value carries every due mark.	
--vf-attention-surface	#fff0d7	Semantic roles (V2 pairs; meaning stays in words + markers)	--color-warning-bg[L]	1	20	0	21	index.css:1	all routes (global CSS grammar: index.css)	not-rebound (light value cascades) | --color-warning-bg dark-literal #33301f	-	low	
--vf-partial	#5b6770	Semantic roles (V2 pairs; meaning stays in words + markers)	-	2	0	0	2	primitives.css:2	all routes (global CSS grammar: primitives.css)	rebound: #a59e8f	theme-contrast-guard.py	low: OD-02 neutral partial/unknown #5B6770; dark #a59e8f (matches ink-tertiary). Chip/stripe tone rules; contrast-guarded 2 pairs.	
--vf-action	#a94630	Action contracts (OD-01: solid action distinct from identity)	-	0	0	3	3	none direct (via chains: --vf-action-create,--vf-nav-selected-ink)	all routes (via bridge chains: --vf-action-create,--vf-nav-selected-ink)	not-rebound (light value cascades)	styles/vf-tokens.test.ts, theme-contrast-guard.py	med: Solid action #A94630 distinct from brand (OD-01); consumed only via chains. DARK create actions stay clay (preserved) -> 'create' reads action-rust in light, clay in dark: sanctioned divergence, needs owner awareness.	
--vf-action-pressed	#8f3b27	Action contracts (OD-01: solid action distinct from identity)	-	0	0	1	1	none direct (via chains: --vf-action-create-pressed)	all routes (via bridge chains: --vf-action-create-pressed)	not-rebound (light value cascades)	-	low: #8F3B27 (V2 derived). Distinct from clay-interactive #C96442; pressed(action) vs selected(clay) must not merge.	
--vf-on-action	#ffffff	Action contracts (OD-01: solid action distinct from identity)	-	0	0	2	2	none direct (via chains: --vf-action-create-ink)	all routes (via bridge chains: --vf-action-create-ink)	not-rebound (light value cascades)	-	none	
--vf-action-create	var(--vf-action)	Action contracts (OD-01: solid action distinct from identity)	--primary[L]; --primary[D]	1	2	1	4	index.css:1	all routes (global CSS grammar: index.css)	rebound: var(--vf-clay)	styles/vf-tokens.test.ts, theme-contrast-guard.py	none	
--vf-action-create-pressed	var(--vf-action-pressed)	Action contracts (OD-01: solid action distinct from identity)	-	0	0	1	1	none direct (via chains: --vf-btn-create-pressed)	all routes (via bridge chains: --vf-btn-create-pressed)	rebound: var(--vf-clay-interactive)	-	none	
--vf-action-create-ink	var(--vf-on-action)	Action contracts (OD-01: solid action distinct from identity)	--primary-foreground[L]	1	2	1	4	index.css:1	all routes (global CSS grammar: index.css)	rebound: #141413	styles/vf-tokens.test.ts, theme-contrast-guard.py	none	
--vf-action-create-icon-ink	var(--vf-ink-on-dark)	Action contracts (OD-01: solid action distinct from identity)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	rebound: #ffffff	theme-contrast-guard.py	none	
--vf-action-save-bg	var(--vf-ground)	Action contracts (OD-01: solid action distinct from identity)	-	0	0	2	2	none direct (via chains: --vf-btn-save-bg)	all routes (via bridge chains: --vf-btn-save-bg)	rebound: var(--vf-tint)	theme-contrast-guard.py	none	
--vf-action-save-ink	var(--vf-ink)	Action contracts (OD-01: solid action distinct from identity)	-	0	0	1	1	none direct (via chains: --vf-btn-save-ink)	all routes (via bridge chains: --vf-btn-save-ink)	rebound: var(--vf-ink)	theme-contrast-guard.py	none	
--vf-action-save-pressed-edge	var(--vf-clay-interactive)	Action contracts (OD-01: solid action distinct from identity)	-	0	0	1	1	none direct (via chains: --vf-btn-save-pressed-edge)	all routes (via bridge chains: --vf-btn-save-pressed-edge)	rebound: var(--vf-clay-interactive)	theme-contrast-guard.py	none	
--vf-action-commit-bg	var(--vf-ink)	Action contracts (OD-01: solid action distinct from identity)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	rebound: #f2eee6	theme-contrast-guard.py	none	DEAD family: commit buttons consume --vf-btn-primary-bg (=var(--vf-ink) light; literal #f2eee6 dark), not the action-commit chain.
--vf-action-commit-ink	var(--vf-ink-on-dark)	Action contracts (OD-01: solid action distinct from identity)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	rebound: #141413	theme-contrast-guard.py	none	DEAD family (see --vf-action-commit-bg).
--vf-action-commit-pressed	var(--vf-ink-pressed)	Action contracts (OD-01: solid action distinct from identity)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	rebound: var(--vf-ink-pressed)	-	none	DEAD family (see --vf-action-commit-bg).
--vf-nav-selected-ink	var(--vf-action)	Action contracts (OD-01: solid action distinct from identity)	-	1	0	0	1	index.css:1	BottomNav tab bar (all routes)	rebound: var(--vf-clay-interactive)	theme-contrast-guard.py	low: Light = --vf-action; dark = clay-interactive (preserved). Selected-tab meaning stable, value diverges by design; 1 contrast pair.	
--vf-btn-primary-bg	var(--vf-ink)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: #f2eee6	components/primitives/primitives.test.tsx	none	
--vf-btn-primary-bg-pressed	var(--vf-ink-pressed)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: #d8d3c6	-	none	
--vf-btn-primary-ink	var(--vf-ink-on-dark)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: #141413	-	none	
--vf-btn-save-bg	var(--vf-action-save-bg)	Button bindings	-	2	0	0	2	primitives.css:2	all routes (global CSS grammar: primitives.css)	rebound: var(--vf-tint)	-	none	
--vf-btn-save-ink	var(--vf-action-save-ink)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: var(--vf-ink)	-	none	
--vf-btn-save-pressed-edge	var(--vf-action-save-pressed-edge)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: var(--vf-clay-interactive)	-	none	
--vf-btn-create-bg	var(--vf-action-create)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: var(--vf-clay)	components/primitives/primitives.test.tsx	none	
--vf-btn-create-ink	var(--vf-action-create-ink)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: #141413	-	none	
--vf-btn-create-pressed	var(--vf-action-create-pressed)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: var(--vf-clay-interactive)	-	none	
--vf-btn-secondary-bg	var(--vf-tint)	Button bindings	--secondary[L]; --secondary[D]	3	1	0	4	primitives.css:2, index.css:1	all routes (global CSS grammar: primitives.css/index.css)	rebound: var(--vf-tint)	theme-contrast-guard.py	none	
--vf-btn-secondary-bg-pressed	var(--vf-soft)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: var(--vf-soft)	-	none	
--vf-btn-secondary-ink	var(--vf-ink-on-tint)	Button bindings	--secondary-foreground[L]; --secondary-foreground[D]	3	1	0	4	primitives.css:2, index.css:1	all routes (global CSS grammar: primitives.css/index.css)	rebound: var(--vf-ink-on-tint)	theme-contrast-guard.py	none	
--vf-btn-outline-bg	var(--vf-surface)	Button bindings	-	2	0	0	2	primitives.css:2	all routes (global CSS grammar: primitives.css)	rebound: var(--vf-surface)	theme-contrast-guard.py	none	
--vf-btn-outline-ink	var(--vf-ink)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: var(--vf-ink)	theme-contrast-guard.py	none	
--vf-btn-outline-border	var(--vf-border-interactive)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: var(--vf-border-interactive)	-	none	
--vf-btn-ghost-ink	var(--vf-ink-tertiary)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: var(--vf-ink-tertiary)	-	none	
--vf-btn-destructive-ink	var(--vf-error)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: var(--vf-error)	-	none	
--vf-btn-destructive-border	var(--vf-error)	Button bindings	-	1	0	0	1	primitives.css:1	all routes (global CSS grammar: primitives.css)	rebound: var(--vf-error)	-	none	
--vf-control-height	48px	Control geometry (V2 sizes where Micro's contracts allow)	-	5	0	0	5	primitives.css:5	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	U09.css.test.ts, components/primitives/primitives.test.tsx	none	
--vf-touch-target	44px	Control geometry (V2 sizes where Micro's contracts allow)	-	2	0	0	2	primitives.css:2	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	-	none	
--vf-control-height-compact	36px	Control geometry (V2 sizes where Micro's contracts allow)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-topbar-height	56px	Control geometry (V2 sizes where Micro's contracts allow)	-	4	0	0	4	index.css:4	AppHeader shell (all routes)	not-rebound (light value cascades)	V2Surface.w183.surfaceAudit.test.ts	none	
--vf-nav-height-min	70px	Control geometry (V2 sizes where Micro's contracts allow)	-	1	0	0	1	index.css:1	all routes (global CSS grammar: index.css)	not-rebound (light value cascades)	-	none	
--vf-fab-size	56px	Control geometry (V2 sizes where Micro's contracts allow)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none: DEAD token (D-06 kept).	
--vf-fab-offset	16px	Control geometry (V2 sizes where Micro's contracts allow)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none: DEAD token (D-06 kept).	
--vf-icon-sm	20px	Control geometry (V2 sizes where Micro's contracts allow)	-	9	0	0	9	primitives.css:9	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	-	none	
--vf-icon-md	24px	Control geometry (V2 sizes where Micro's contracts allow)	-	4	0	0	4	primitives.css:4	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	-	none	
--vf-progress-track-height	8px	Control geometry (V2 sizes where Micro's contracts allow)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-radius-control	16px	Control geometry (V2 sizes where Micro's contracts allow)	--radius-control[L]	7	58	0	65	primitives.css:6, index.css:1	all routes (global CSS grammar: primitives.css/index.css)	not-rebound (light value cascades)	components/primitives/primitives.test.tsx	low	
--vf-radius-card	16px	Control geometry (V2 sizes where Micro's contracts allow)	--radius-card[L]	2	43	0	45	index.css:1, primitives.css:1	all routes (global CSS grammar: index.css/primitives.css)	not-rebound (light value cascades)	-	low	
--vf-radius-segment	12px	Control geometry (V2 sizes where Micro's contracts allow)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none: DEAD token (aligned value); segmented uses literal 12px.	
--vf-radius-sheet	24px	Control geometry (V2 sizes where Micro's contracts allow)	--radius-sheet[L]	1	2	0	3	index.css:1	all routes (global CSS grammar: index.css)	not-rebound (light value cascades)	-	none	
--vf-radius-full	999px	Control geometry (V2 sizes where Micro's contracts allow)	-	8	0	0	8	primitives.css:7, index.css:1	all routes (global CSS grammar: primitives.css/index.css)	not-rebound (light value cascades)	components/primitives/primitives.test.tsx	none	
--vf-text-title-size	1.5rem	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-title-line	1.3	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-text-title-weight	700	Type scale (values inside the V2 approved ranges; rem ladder kept)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
